gene,var_importance
Csrnp_1_69505,345914.75268090784
Csrnp_1_69505,345914.75268090784
Cyp_1_b_1_72511,22003.792174331236
Cyp_1_b_1_72511,22003.792174331236
Plscr_4_55764,18862.822458407492
Plscr_4_55764,18862.822458407492
Alg_11_64834,3430.4385405331554
Alg_11_64834,3430.4385405331554
Sfn_31323,3115.85489182415
Sfn_31323,3115.85489182415
Gm_13889_55024,2311.919215613248
Gm_13889_55024,2311.919215613248
Srm_62972,2054.692557855842
Srm_62972,2054.692557855842
Mt_2_76492,1025.5983397803527
Mt_2_76492,1025.5983397803527
Myc_30907,821.8057679314127
Myc_30907,821.8057679314127
Tspan_4_30708,819.4833163969395
Tspan_4_30708,819.4833163969395
Cyp_1_a_1_79654,726.5951849943232
Cyp_1_a_1_79654,726.5951849943232
Acyp_1_74193,662.7422444542947
Acyp_1_74193,662.7422444542947
Txnrd_1_72590,617.4410928619357
Txnrd_1_72590,617.4410928619357
Spib_29254,501.21349613181934
Spib_29254,501.21349613181934
Mcur_1_30741,450.832544311519
Mcur_1_30741,450.832544311519
Zfp_820_56096,440.8526078817094
Zfp_820_56096,440.8526078817094
Cxcl_10_29431,285.4542815105908
Cxcl_10_29431,285.4542815105908
Slc_26_a_4_56472,270.88567028524864
Slc_26_a_4_56472,270.88567028524864
Cebpd_68861,76.12237696840855
Cebpd_68861,76.12237696840855
Hsph_1_69147,31.459793015534306
Hsph_1_69147,31.459793015534306
Kbtbd_7_76521,23.78655896488996
Kbtbd_7_76521,23.78655896488996
Tnip_1_29881,17.930917860514494
Tnip_1_29881,17.930917860514494
Gja_1_75237,16.3186066986593
Gja_1_75237,16.3186066986593
Aldh_1_a_2_60261,9.750090914668672
Aldh_1_a_2_60261,9.750090914668672
Cyp_1_a_1_29719,2.639533341680726
Cyp_1_a_1_29719,2.639533341680726
March_3_58049,1.8493639506973907
March_3_58049,1.8493639506973907
Nppa_58684,1.1504153680998725
Nppa_58684,1.1504153680998725
Arf_1_31811,1.120905296187823
Arf_1_31811,1.120905296187823
Zfp_672_67722,1.0046111227002175
Zfp_672_67722,1.0046111227002175
Notum_69460,0.7696290386545382
Notum_69460,0.7696290386545382
Tgm_1_60333,0.7565704915515481
Tgm_1_60333,0.7565704915515481
Ccl_6_74906,0.7548319952362423
Ccl_6_74906,0.7548319952362423
Inip_82129,0.7326645325067543
Inip_82129,0.7326645325067543
Igkv_16104_74538,0.6097250903338894
Igkv_16104_74538,0.6097250903338894
Slc_25_a_25_72214,0.3831556386626414
Slc_25_a_25_72214,0.3831556386626414
Adamts_5_56833,-0.5602616139775313
Adamts_5_56833,-0.5602616139775313
Gm_15448_82247,-0.822481639300324
Gm_15448_82247,-0.822481639300324
Eef_1_a_2_67152,-0.9102241536591612
Eef_1_a_2_67152,-0.9102241536591612
Kdm_6_a_65647,-1.0116574855318892
Kdm_6_a_65647,-1.0116574855318892
Ms_4_a_6_b_55953,-1.0166861955038495
Ms_4_a_6_b_55953,-1.0166861955038495
Cdkn_1_a_66319,-1.2860885941007871
Cdkn_1_a_66319,-1.2860885941007871
Gm_5737_59680,-1.325270511930254
Gm_5737_59680,-1.325270511930254
Marco_61146,-2.146341488178304
Marco_61146,-2.146341488178304
Nrap_65543,-3.081748455730121
Nrap_65543,-3.081748455730121
Dusp_11_79084,-4.316046821569453
Dusp_11_79084,-4.316046821569453
Sh_3_gl_2_31946,-5.715587186932496
Sh_3_gl_2_31946,-5.715587186932496
Actn_2_32214,-7.43141544183928
Actn_2_32214,-7.43141544183928
Gadd_45_g_64460,-14.554281534211485
Gadd_45_g_64460,-14.554281534211485
Gm_21190_82342,-16.885919412539696
Gm_21190_82342,-16.885919412539696
Il_4_i_1_71608,-24.398301549366636
Il_4_i_1_71608,-24.398301549366636
Tnfrsf_9_66723,-28.93418904641814
Tnfrsf_9_66723,-28.93418904641814
Tnip_3_58404,-64.01977638863002
Tnip_3_58404,-64.01977638863002
Mettl_14_68520,-183.79012514092724
Mettl_14_68520,-183.79012514092724
Il_4_i_1_31821,-241.19361038407897
Il_4_i_1_31821,-241.19361038407897
Tacr_1_72530,-763.0563179082285
Tacr_1_72530,-763.0563179082285
Asb_14_29409,-1100.3905122500948
Asb_14_29409,-1100.3905122500948
