Equation
0.418443*chem1 + 2.00891*chem13 + 0.0719243*chem14 + 14.9522*chem2 + 11.5512*chem6 - 61.1192
0.424807*chem1 + 2.01009*chem13 + 0.0736408*chem14 + 15.0093*chem2 + 11.6088*chem6 - 61.5753
0.424866*chem1 + 2.00885*chem13 + 0.0735128*chem14 + 14.9885*chem2 + 11.5909*chem6 - 61.418
0.423821*chem1 + 2.00685*chem13 + 0.0736474*chem14 + 15.0176*chem2 + 11.6178*chem6 - 61.6363
0.42411*chem1 + 2.00763*chem13 + 0.0735077*chem14 + 14.9984*chem2 + 11.6029*chem6 - 61.5154
0.424342*chem1 + 2.00678*chem13 + 0.0736259*chem14 + 15.0111*chem2 + 11.612*chem6 - 61.5942
0.424234*chem1 + 2.00771*chem13 + 0.0736003*chem14 + 15.0001*chem2 + 11.6037*chem6 - 61.5268
0.423706*chem1 + 2.00239*chem13 + 0.073571*chem14 + 15.0047*chem2 + 11.6077*chem6 - 61.5554
0.424489*chem1 + 2.0083*chem13 + 0.0736637*chem14 + 14.9936*chem2 + 11.5987*chem6 - 61.4877
0.425279*chem1 + 2.00841*chem13 + 0.0736895*chem14 + 15.0006*chem2 + 11.6028*chem6 - 61.512
