Equation
1.36178*var13 + 40.0686*(0.111392*var6 + 0.0291482)*(-0.012688*var15 + (3.7361 - 1.3069*var2)*(0.255605*var10 - 0.707582) + 2.03867) - 4.18248
8.42011*var6 - 9.29834*(2.18618 - 0.758988*var10)*(-0.0864708*var13 + (1.98696 - 0.742072*var2)*(0.268498*var6 + 0.0685094) + 0.270718) + 2.08413
31.9469*(0.532313*var10 - 2.75906)*(-0.000620635*var14 - 0.595562)*(0.035127*var13 + (0.063741 - 0.179445*var2)*(0.168902 - 0.418951*var6) - 0.704911) + 35.2724
21.3541*(0.511723 - 0.00235899*var7)*((1.31402 - 1.10549*var10)*(0.301725*var13 + 0.0133212) + (0.732057*var2 - 0.0402459)*(0.393084*var6 - 0.0108317)) + 0.185426
-17.2445*(-0.292513*var10 + 0.00122505*var14 + 1.50432)*(-0.0711376*var13 + (0.104803 - 0.306152*var2)*(0.496092*var6 - 0.189358) + 1.45915) + 35.6782
23.6478*(1.01445 - 0.0046163*var7)*((0.00546124 - 0.279368*var6)*(0.0221879 - 0.467989*var2) + (1.39886 - 1.17747*var10)*(0.128603*var13 + 0.00504127)) + 0.0842108
9.10235*var6 + 14.4912*(0.79921 - 0.285977*var10)*(0.152694*var13 + (3.79102 - 1.31224*var2)*(-0.268987*var6 - 0.0681114) - 0.166349) - 0.593778
-0.274292*var7 - 30.1959*(0.22329 - 1.08383*var2)*(0.0970227*var6 - 0.0207723) - 30.1959*(0.968423*var10 - 1.18247)*(0.111935*var13 + 0.012629) + 4.24327
-0.312414*var7 + 9.31345*(1.21405 - 0.967977*var10)*(0.343804*var13 + 0.116612) + 9.31345*(0.666514*var2 - 0.164053)*(0.515855*var6 - 0.139985) + 4.98203
11.4308*(0.235102 - 1.06207*var6)*(0.359543*var2 - 0.0665399)*(0.00377109*var7 - 0.748988) + 11.4308*(1.2268*var10 - 1.51016)*(-0.23185*var13 - 0.0629093) + 1.96702
