Equation
2.15445*var13 + 0.0889761*var14 + 14.3653*var2 + 10.7243*var6 - 0.463185*var8 - 49.4644
2.07141*var13 + 0.0841186*var14 + 14.3161*var2 + 10.6337*var6 - 0.439219*var8 - 48.9001
2.07023*var13 + 0.0844213*var14 + 14.3139*var2 + 10.6349*var6 - 0.438507*var8 - 48.9022
2.07354*var13 + 0.0847747*var14 + 14.324*var2 + 10.639*var6 - 0.439202*var8 - 48.958
2.06861*var13 + 0.0842291*var14 + 14.3088*var2 + 10.6298*var6 - 0.438505*var8 - 48.8516
2.06776*var13 + 0.0842988*var14 + 14.3076*var2 + 10.63*var6 - 0.438104*var8 - 48.8511
2.06836*var13 + 0.0842333*var14 + 14.3111*var2 + 10.63*var6 - 0.438662*var8 - 48.8598
2.06999*var13 + 0.0842728*var14 + 14.3173*var2 + 10.6339*var6 - 0.43851*var8 - 48.9077
2.07005*var13 + 0.0837913*var14 + 14.3359*var2 + 10.6374*var6 - 0.439776*var8 - 48.9778
2.0672*var13 + 0.0848088*var14 + 14.3072*var2 + 10.6321*var6 - 0.435852*var8 - 48.8751
