Equation
34.9383*(-0.000645568*var14 + (0.345296 - 0.0075436*var13)*(0.32752*var6 - 2.78583) + 0.907852)*(0.866579*var2 - 0.507745 + 1.87355*exp(-3.80417*var10)) + 7.46104
11.9097*(0.615815*var10 - 1.15774*var2 + 0.158595)*(-0.247506*var6 + (0.699332 - 0.413266*var13)*(0.0034072*var14 + 0.0378138) + 0.0975655) + 9.19385
1.21537*var13 + 9.9197*(0.419705 - 0.0763328*var15)*(4.20779 - 4.73372*var10) + 9.9197*(0.35836*var2 - 0.193785)*(0.934943*var6 - 0.271632) + 6.39587
-10.4473*(0.13911 - 0.436683*var6)*(0.739147*var2 - 0.410609) - 10.4473*(1.28626 - 0.226727*var15)*(1.46227*var10 - 1.33102) - 10.4473*log(2.06558 - 0.146719*var13) + 14.1831
-16.1088*(0.0442276 - 0.663505*var6)*(0.303025*var2 - 0.1509) - 16.1088*(0.0865799*var15 - 0.560549)*(-1.97307*var10 + 0.168253*var13 + 1.79943) + 5.08455
20.0436*(0.887331 - 0.136981*var15)*(-0.999703*var10 + 0.0852703*var13 + 0.911717) + 20.0436*(0.371997*var2 - 0.184812)*(0.434373*var6 - 0.029299) + 5.06952
-18.8197*(0.521302 - 0.0705196*var10)*(0.561032 - 1.13902*var2)*(0.340994*var6 + (0.323644*var13 - 0.49805)*(0.0060472*var14 + 0.0620795) - 0.125165) + 7.99652
47.5915*(0.0275105*var13 - 1.05013)*exp((0.174869 - 0.0312041*var15)*(2.51753*var10 - 2.24031)) + 47.5915*(0.299347*var2 - 0.160308)*(0.231801*var6 - 0.0573652) + 56.0766
54.5202*((0.0615215 - 0.0417815*var13)*(0.00911324*var14 + 0.0543682) + log(0.993423 - 0.0378851*var6))*(0.593522*var10 - 1.30324*var2 + 0.258479) + 9.05615
28.2641*(0.195935 - 0.0302148*var15)*(-3.18164*var10 + 0.2747*var13 + 2.89339) + 28.2641*(0.542654*var2 - 0.270943)*(0.21209*var6 - 0.0181087) + 5.14167
