Equation
12.4129*(0.0594536 - 0.282129*var13)*(0.0148601*var11 + 0.291956)*log(0.505824*var10 - 0.110943) + 12.4129*(0.218018*var2 - 0.00111822)*(1.11127*var6 - 0.00421734) + 0.255611
-14.8006*(0.0726997 - 1.51405*var6)*(0.135308*var2 - 0.00646805) - 14.8006*(1.10316 - 0.771054*var10)*(1.02017*var10 - 0.179188*var13 - 0.134654) + 5.33678
12.8515*(0.023509 - 0.0827045*var13)*(-0.026*var7 + 2.46436*sqrt(var10 - 0.369527) - 2.52639) + 12.8515*(-1.73194*var2 - 0.0432119)*(-0.134187*var6 - 0.00318665) - 0.00238787
-11.522*(0.0129509 - 0.532573*var6)*(0.49328*var2 + (1.86549*var10 - 2.36541)*(0.0541176*var13 - 0.0182241)*(0.120678*var6 - 1.5679) - 0.0254304) + 0.916373
16.5458*(0.00511478 - 0.246764*var2)*(0.00799964 - 0.738558*var6) + 16.5458*(0.361901*var10 - 0.484358)*(-1.02121*var11 - 2.7356)*(0.140093*var13 - 0.060541) + 0.607241
-46.8489*(0.00831838 - 0.321597*var6)*(0.200906*var2 - 0.0090321) - 46.8489*(0.318282*var10 - 0.411801)*(0.179249*var13 - 0.0674345)*(0.0510958*var6 + 0.743252) + 0.875349
-26.9361*(0.0284745 - 0.0767448*var13)*(1.62551 - 1.25198*var10)*(0.0521672*var6 + 0.765094) - 26.9361*(0.0971801 - 2.14028*var2)*(0.0525056*var6 - 0.00135909) + 0.8745
19.86*(0.00170084 - 0.0926518*var6)*(0.0358606 - 1.64165*var2) + 19.86*(0.0531954 - 0.144048*var13)*(0.581458 - 0.337867*var10)*(1.56156*var10 - 2.68084) + 0.595438
37.0955*(1.81391 - 1.71813*var10)*(0.0454186*var13 - 0.0167405) + 37.0955*(0.164645*var6 - 0.00616461)*(0.497159*var2 + 1.16495*sqrt(0.030844*var13 + 1) - 1.20221) + 1.11545
-13.397*(0.00318597 - 0.171977*var6)*(1.31072*var2 - 0.0280697) - 13.397*(1.28139 - 0.743328*var10)*(0.455476*var10 - 0.785919)*(0.3288*var13 - 0.119245) + 0.59133
