Equation
1.19942*var13 - 21.7663*(0.14131 - 0.577088*var6)*(0.261565*var2 - 0.136121) - 21.7663*(0.975548 - 1.08945*var10)*(0.150599*var15 - 0.835998) + 6.08157
1.18925*var13 - 20.7372*(0.0891988 - 0.379444*var6)*(0.417205*var2 - 0.218264) - 20.7372*(1.55953 - 0.280517*var15)*(0.611397*var10 - 0.548454) + 6.09636
-40.1528*(0.0152967 - 0.288657*var6)*(0.278307*var2 - 0.137303) - 40.1528*(0.0639914*var15 - 0.415036)*(-1.07053*var10 + 0.09095*var13 + 0.978556) + 5.0289
18.6317*(0.0283749 - 0.453924*var6)*(0.189266 - 0.381787*var2) + 18.6317*(1.53297 - 0.236413*var15)*(-0.623782*var10 + 0.0532483*var13 + 0.569248) + 5.08793
-14.9147*(0.0218507 - 0.301949*var6)*(0.717509*var2 - 0.356846) - 14.9147*(0.0855333*var15 - 0.554155)*(-2.15125*var10 + 0.185205*var13 + 1.96018) + 5.1345
-31.2038*(0.320949*var10 - 0.571732*var2 + 0.0857292)*(0.0215089*var13 + (0.00370239*var14 + 1.0266)*(0.181031*var6 - 0.814269) + 0.745062) + 9.76793
38.6793*(-0.210899*var10 + 0.371353*var2 - 0.0609669)*(0.0267807*var13 + (0.00291816*var14 + 0.789994)*(0.29391*var6 - 1.33962) + 0.939319) + 10.101
-24.1337*(0.529653*var10 - 0.940556*var2 + 0.153118)*(0.0167729*var13 + (0.00359653*var14 + 0.975405)*(0.150656*var6 - 0.687376) + 0.596244) + 10.0508
4.19256*(0.339595*var13 - 0.438676)*(0.0298147*var14 + 0.823934) + 4.19256*(0.504956*var6 - 0.325964)*(-0.884516*var10 + 1.66603*var2 - 0.454172) + 11.9679
-19.7053*(-0.380408*var10 + 0.681216*var2 - 0.137395)*(-0.0280034*var13 + (0.961468 - 0.204442*var6)*(0.00473559*var14 + 1.23352) - 1.04585) + 10.7928
