Equation
2.27039*var13 + 0.0911984*var14 + 14.5171*var2 + 10.9514*var6 - 0.358839*var8 - 52.1465
2.2583*var13 + 0.0900861*var14 + 14.5951*var2 + 10.9152*var6 - 0.356445*var8 - 52.2537
2.25696*var13 + 0.0900227*var14 + 14.5911*var2 + 10.9148*var6 - 0.355396*var8 - 52.2418
2.25872*var13 + 0.0902005*var14 + 14.6053*var2 + 10.9205*var6 - 0.357174*var8 - 52.3134
2.25539*var13 + 0.0896966*var14 + 14.5982*var2 + 10.9168*var6 - 0.354826*var8 - 52.2832
2.25437*var13 + 0.0896724*var14 + 14.5801*var2 + 10.9084*var6 - 0.354152*var8 - 52.1789
2.25992*var13 + 0.0899981*var14 + 14.5713*var2 + 10.9097*var6 - 0.355087*var8 - 52.1423
2.2587*var13 + 0.0902356*var14 + 14.5958*var2 + 10.9129*var6 - 0.356375*var8 - 52.2483
2.25507*var13 + 0.089712*var14 + 14.6154*var2 + 10.9201*var6 - 0.356024*var8 - 52.3429
2.25408*var13 + 0.0896247*var14 + 14.5848*var2 + 10.908*var6 - 0.354361*var8 - 52.1943
