Equation
2.07357*var13 + 0.0827608*var14 + 14.5658*var2 + 10.7279*var6 - 0.45396*var8 - 49.902
2.06977*var13 + 0.0815541*var14 + 14.527*var2 + 10.7169*var6 - 0.448754*var8 - 49.7442
2.07098*var13 + 0.0815186*var14 + 14.5285*var2 + 10.7198*var6 - 0.448808*var8 - 49.7589
2.07094*var13 + 0.0816456*var14 + 14.5288*var2 + 10.7171*var6 - 0.44882*var8 - 49.7476
2.06931*var13 + 0.081548*var14 + 14.5267*var2 + 10.7151*var6 - 0.448626*var8 - 49.7289
2.06912*var13 + 0.081675*var14 + 14.5263*var2 + 10.7131*var6 - 0.448372*var8 - 49.7148
2.07206*var13 + 0.0815428*var14 + 14.5253*var2 + 10.7158*var6 - 0.448416*var8 - 49.728
2.06699*var13 + 0.0815554*var14 + 14.5306*var2 + 10.7182*var6 - 0.447287*var8 - 49.7521
2.06525*var13 + 0.081476*var14 + 14.5285*var2 + 10.7161*var6 - 0.447038*var8 - 49.7441
2.06751*var13 + 0.0816611*var14 + 14.5296*var2 + 10.7156*var6 - 0.447112*var8 - 49.7342
