Equation
-18.9935*(0.0689834*var13 - 0.00865725)*log(0.755979*var10 - 0.157589) - 18.9935*(0.127303*var6 - 0.0294075)*(0.00676583*var1 - 1.32163*var2 + 0.24354) + 2.63438
-16.4336*(0.178607 - 0.691152*var6)*(0.280498*var2 - 0.0531506) - 16.4336*(0.0783613*var13 - 0.0118257)*log(0.712228*var10 - 0.152971) + 2.83352
36.3234*(0.165874 - 0.377373*var13)*(0.849146*var10 - 1.06746)*(0.00339769*var14 + 0.213856) + 36.3234*(0.136183*var2 - 0.0288844)*(0.647463*var6 - 0.179194) + 3.21371
17.547*(0.0369262 - 0.158811*var6)*(0.208667 - 1.14079*var2) + 10.9292*(2.16849 - 1.58503*var10)*(0.104942*var13 - 0.0341193)*sqrt(0.0737036*var14 + 1) + 2.5715
14.5158*(0.0326749 - 0.112616*var6)*(0.423487 - 1.9606*var2) + 14.5158*(0.707978*var10 - 0.911074)*(0.27095*var13 - 0.127486)*(-0.0145244*var14 - 0.854108) + 3.40565
14.6722*(0.0374838 - 0.169882*var2)*(0.394776 - 1.28852*var6) + 14.6722*(1.4451*var10 - 1.8626)*(0.243823*var13 - 0.121147)*(-0.0080221*var14 - 0.456501) + 3.60597
-20.996*(0.152249 - 0.764845*var2)*(0.198802*var6 - 0.0525648) - 20.996*(2.99891 - 2.32938*var10)*(0.089911*var13 - 0.0400243)*(-0.00886778*var14 - 0.54259) + 3.08175
-16.203*(0.0499006 - 0.247415*var2)*(0.796955*var6 - 0.213067) - 16.203*(0.105726 - 0.240142*var13)*(1.17766*var10 - 1.51812)*(-0.00851793*var14 - 0.519193) + 3.12586
12.1129*(0.115237 - 0.268176*var13)*(1.77441 - 1.37441*var10)*(-0.00868873*var14 - 0.530072) + 12.1129*(0.813488*var2 - 0.1565)*(0.323219*var6 - 0.0823584) + 2.97942
-23.924*(0.0557788 - 0.300062*var2)*(0.442953*var6 - 0.102243) - 23.924*(0.646722*var10 - 0.894304)*(0.22029*var13 - 0.0730561)*log(0.0288387*var14 + 1.72361) + 2.52745
