Equation
2.25264*var13 + 0.0765233*var14 + 14.0907*var2 + 10.1297*var6 - 0.516001*var8 - 45.5716
2.24087*var13 + 0.0766234*var14 + 14.1306*var2 + 10.1359*var6 - 0.512985*var8 - 45.7497
2.23931*var13 + 0.0765941*var14 + 14.1274*var2 + 10.1339*var6 - 0.511945*var8 - 45.7323
2.24107*var13 + 0.076585*var14 + 14.1263*var2 + 10.1379*var6 - 0.513628*var8 - 45.734
2.24136*var13 + 0.0765479*var14 + 14.1241*var2 + 10.1363*var6 - 0.512768*var8 - 45.7284
2.23811*var13 + 0.0767792*var14 + 14.1477*var2 + 10.1358*var6 - 0.511577*var8 - 45.8215
2.23921*var13 + 0.0767066*var14 + 14.1471*var2 + 10.1402*var6 - 0.512494*var8 - 45.8366
2.23927*var13 + 0.0766858*var14 + 14.1445*var2 + 10.1394*var6 - 0.512665*var8 - 45.8145
2.2412*var13 + 0.0765196*var14 + 14.123*var2 + 10.1347*var6 - 0.512881*var8 - 45.7159
2.23902*var13 + 0.076599*var14 + 14.1261*var2 + 10.1335*var6 - 0.512446*var8 - 45.7262
