Equation
-40.4885*(0.00351281 - 0.0253461*var13)*(-0.0117228*var6 - 0.981713)*log(0.515492*var10 - 0.10841) - 40.4885*(0.00367541 - 0.338466*var2)*(0.21932*var6 - 0.00147058) + 0.27208
10.7644*(0.0478582*var13 - 0.00620439)*(0.0189612*var7 - 2.30613)*log(0.538261*var10 - 0.112506) + 10.7644*(0.65163*var2 - 0.00895872)*(0.429267*var6 - 0.00650032) + 0.330216
42.6501*(0.000665552 - 0.357846*var2)*(0.00073227 - 0.196694*var6) + 9.52904*sqrt(0.80196 - var10)*(1.11717*var10 - 1.92913)*(-0.283207*var13 - 0.014839) - 0.0280805
-69.5065*(0.00678689 - 0.480691*var2)*(0.0901348*var6 + (0.00259904 - 0.025187*var13)*(0.665964 - 0.0839903*var2)*log(0.515482*var10 - 0.10802) - 0.00281309) + 0.441549
-2.1558*var6 + 7.98011*(0.0426097 - 0.237915*var13)*log(0.618733*var10 + 0.00841336) + 7.98011*(0.403215*var2 + 0.274373)*(0.940425*var6 - 0.0316816) + 0.646421
-46.3361*(0.00312714 - 0.139874*var6)*(0.465686*var2 - 0.0135536) - 46.3361*(1.38218*var10 - 1.87342)*(0.384582*var11 + 0.978769)*(0.0356817*var13 - 0.0119864) + 0.67197
-46.0297*(0.0153209 - 0.521355*var2)*(0.12578*var6 - 0.00280027) - 46.0297*(3.20495 - 2.36369*var10)*(-0.0404933*var11 - 0.104083)*(0.196994*var13 - 0.0654521) + 0.67395
-15.6392*(0.00317818 - 0.123725*var6)*(1.56075*var2 - 0.0495277) - 12.6373*(0.760759*var10 - 1.02692)*sqrt(0.903444*var11 + 1)*(0.233013*var13 - 0.077761) + 0.696214
7.05901*(0.0528253 - 0.916907*var6)*(-0.469456*var2 + (0.016655 - 0.0736838*var13)*(2.10075*var10 - 2.69623)*(0.0740224*var6 - 0.959344) + 0.0316819) + 1.1289
30.2552*(1.40356*var10 - 1.90014)*(-0.536576*var11 - 1.37179)*(0.0383345*var13 - 0.0128413) + 30.2552*(0.566625*var2 - 0.0185926)*(0.176224*var6 - 0.00452836) + 0.716742
