Equation
61.928*(0.145996*var6 - 0.0221651)*(0.346067*var2 + (0.133972 - 0.0101935*var6)*(1.29545*var10 - 1.76052)*(-0.542264*var13 - 0.21583) - 0.0645802) + 1.58182
49.7372*(0.158515*var6 - 0.0219413)*(0.395557*var2 + (0.597682 - 0.440592*var10)*(1.53681 - 0.117291*var6)*(0.160016*var13 + 0.0564781) - 0.0687899) + 1.49893
-31.8346*(0.0157791 - 0.0762714*var6)*(1.30203*var2 + (1.91233 - 1.36774*var10)*(-0.0892552*var13 - 0.0523126)*(0.215923*var6 - 2.79296) - 0.306856) + 2.09453
-18.4703*(0.772032*var6 - 0.0680757)*(-0.217276*var2 + (0.0212031*var13 + 0.00686849)*(1.42798*var10 + 0.186205*var6 - 3.10106) + 0.027164) + 0.552182
-29.919*(0.0781013 - 0.623454*var2)*(0.168307*var6 - 0.03109) - 29.919*(4.40263 - 3.36031*var10)*(-0.112926*var13 - 0.00613123)*(0.16542*var9 + 0.194023) + 1.40039
7.18915*(3.85784 - 2.60831*var10)*(0.378883*var11 + 0.882346)*(0.113515*var13 + 0.0188028) + 7.18915*(0.445551*var2 - 0.0569591)*(0.971685*var6 - 0.0970649) + 0.864973
-44.2163*(0.184106*var2 - 0.0233146)*(-0.382904*var6 + (1.32758 - 0.193133*var2)*(2.16048 - 1.53731*var10)*(-0.0953539*var13 - 0.0156084) + 0.0601105) + 1.1442
-10.4235*(0.0843812 - 0.489352*var6)*(0.615432*var2 - 0.0742973) - 10.4235*(2.36136 - 1.81212*var10)*(0.132545*var13 + 0.0041817)*(-0.751201*var9 - 0.894332) + 1.32064
43.6035*(0.000812682*var1 - 0.51662)*((0.040179 - 0.284851*var2)*(0.490762*var6 - 0.0426984) + (1.90681 - 1.42127*var10)*(-0.0762528*var13 - 0.0154192)) + 0.840676
22.4026*(0.0122665 - 0.0889303*var6)*(-0.0595098*var13 - 1.5639*var2 + 0.242572) + 22.4026*(0.405539*var10 - 0.439493)*(-0.276978*var13 - 0.0813769) + 1.59425
