Equation
-44.797*(-0.149396*var11 - 1.03621)*(0.00713388*var13 + log(0.0266784*var6 + 0.362441) + 0.953518)*(1.26797*var2 - 0.0297511*var3 - 0.230779) + 4.15334
39.7774*(0.12171*var2 - 0.00501348)*(0.614213*var6 + (1.30671 - 0.0330299*var3)*(-0.0475731*var13 - 0.166201)*log(0.243194 - 0.210249*var11) - 0.296244) + 0.546112
-13.397*(0.0921389 - 1.521*var2)*(0.146702*var6 + 0.684619*sqrt(1 - 0.047204*var3)*(0.330442*var11 + 0.315723)*(0.0934335*var13 + 0.295295) - 0.0662024) + 0.626782
28.9906*(0.00876237 - 0.148076*var2)*(-0.696941*var6 + (-0.372118*var11 - 0.353118)*(-0.378002*var13 - 1.22327)*(0.0217337*var3 - 0.733532) + 0.314567) + 0.574755
-30.0896*(0.0333044*var13 + 1.81494)*(0.118748*var2 + 0.00397127)*(-0.445194*var6 + (0.618196 - 1.10685*var12)*(0.757904*var10 - 0.688963) - 0.057659) + 0.0844885
14.5135*(0.994844*var2 - 0.0429744)*(0.205898*var6 + (0.866274 - 0.0260373*var3)*(-1.98496*var11 - 1.8207)*(-0.0184193*var13 - 0.0531406) - 0.0809633) + 0.41658
24.5356*sqrt(0.0378733*var13 + 1)*(0.762946*var2 + 0.0165497)*(0.155033*var6 + (0.0991629 - 0.177594*var12)*(1.50253 - 1.65909*var10) + 0.0153304) + 0.278924
18.2466*(1.33555*var2 + 0.0303957)*(0.120119*var6 + 3.75994*(0.435707 - 0.0155451*var3)*sqrt(var11 + 0.212617)*(0.0213205*var13 + 0.0322566) - 0.0187625) - 0.224576
27.9288*(0.117405*var2 - 0.0163528)*(0.933175*var6 + 0.777754*sqrt(var11 + 0.403399)*(-0.216391*var13 - 0.968491)*(0.0330051*var3 - 1.2142) - 0.693154) + 1.78885
-39.0227*(0.00541699 - 0.271799*var2)*(0.280895*var6 + (-0.0692176*var13 - 0.118077)*(-0.574609*var11 + log(0.0454058*var3 + 1.37627) - 0.951782) - 0.0671243) + 0.167554
