Equation
18.4787*(0.0436822*var13 + 0.404294*var6 - 0.0963525)*(0.412253*var2 + (0.121103 - 0.225818*var12)*(1.87936 - 2.19307*var10) - 0.0373541) + 2.23282
13.3386*(0.0883035*var13 + 0.819121*var6 - 0.157223)*(0.279437*var2 + (1.1873*var10 - 1.02318)*(0.284973*var12 - 0.150213) - 0.0187444) + 1.85704
1.50945*var13 + 21.1566*(0.00928662 - 0.282092*var6)*(-0.506649*var2 + (1.24613 - 2.66445*var12)*(0.237571*var10 - 0.208475) + 0.0422648) + 0.723435
16.3589*(0.3953*var2 + 0.066992)*(0.0438443*var13 + 0.446104*var6 + (1.73801 - 1.83992*var10)*(0.0514032*var7 - 0.31568) + 0.0137898) - 1.10915
-32.4387*(0.0329138 - 0.242781*var2)*(0.387965*var6 + (0.263886*var11 + 0.488763)*(-0.0818447*var13 - 0.660796)*(0.0266873*var3 - 1.36173) - 0.46833) + 1.70263
19.3866*(0.584562*var2 + 0.0873525)*(0.0254509*var13 + 0.256033*var6 + (0.100445 - 0.0165341*var7)*(3.24987*var10 - 3.05846) - 0.000994834) - 0.789688
-29.2896*(-0.158159*var2 - 0.026498)*(0.0618196*var13 + 0.623491*var6 + (0.525978 - 0.555523*var10)*(0.229845*var7 - 1.39277) + 0.00916762) - 1.01117
1.45684*var13 + 26.698*(3.89374*var10 - 3.3056)*(0.180665*var12 - 0.09186) + 26.698*(0.471071*var2 - 0.100033)*(0.2493*var6 - 0.0585899) + 2.93893
17.0249*(0.132738 - 1.57476*var2)*((0.929633 - 1.03738*var10)*(0.209205*var12 - 0.120461) + (-0.0140536*var13 - 0.771787)*(0.143953*var6 - 0.0095406)) + 1.77652
1.46805*var13 + 11.7696*(0.0765392 - 0.298632*var2)*(0.27529 - 0.902432*var6) + 11.7696*(1.15185*var10 - 0.974117)*(1.3861*var12 - 0.712349) + 3.64935
