Equation
-16.7754*(0.0963081*var6 - 0.0425421)*(-1.99154*var2 + (0.117397 - 0.0790622*var7)*(0.190822*var13 + 0.522747)*(0.211604*var13 + 0.538278) + 0.688211) + 5.30199
-24.2851*(0.250737 - 0.286806*var6)*(0.504108*var2 - 0.26116) - 24.2851*(0.472546 - 0.380843*var10)*(-0.284036*var13 - 0.194041*var5 + 0.324783) + 8.11156
17.2852*(0.272599*var6 - 0.104688)*(0.671485*var2 + (0.106294*var13 + 0.046813)*(0.0750931*var13 + 0.112788*var7 - 0.613943) - 0.161682) + 4.70126
10.6577*(0.24219 - 0.650168*var6)*(-0.455402*var2 + (0.0359473*var13 + 0.0152155)*(-0.147929*var13 - 0.22674*var7 + 1.20938) + 0.107087) + 4.60978
-14.8103*(0.328065 - 0.387237*var6)*(0.607443*var2 - 0.304323) - 14.8103*(0.999218*var10 - 1.25422)*(0.175337*var13 + 0.115978*var5 - 0.189374) + 7.85
0.700657*var5 - 9.16682*(1.78727 - 1.85402*var6)*(0.210369*var2 - 0.120529) - 9.16682*(1.89477 - 1.51483*var10)*(-0.192041*var13 - 0.110819) + 7.16897
27.359*(0.072822 - 0.317828*var2)*(0.127803 - 0.366016*var6) + 27.359*(1.75398*var10 - 2.28886)*(-0.0544687*var13 - 0.0100071*var7 + 0.121216) + 4.70846
14.2942*(0.64678 - 1.23708*var6)*(-0.184674*var2 + (-0.0314113*var13 - 0.11984)*(0.247724*var13 + 0.419072)*(0.0399235*var7 - 0.0699171) + 0.0746467) + 6.19562
-17.5521*(0.0907096 - 0.244477*var6)*(0.745912*var2 - 0.183936) - 17.5521*(0.812165 - 0.621618*var10)*(-0.239635*var13 - 0.0447628*var7 + 0.54235) + 4.9256
56.0524*(0.124212 - 0.328006*var2)*(-0.183759*var6 - 0.00603809*var7 + 0.159567) + 56.0524*(1.05169 - 0.791115*var10)*(0.0575196*var13 - 0.0464853) + 6.95827
