Equation
1.89563*var13 + 0.0695633*var14 + 14.2516*var2 + 11.1902*var6 - 0.327776*var8 - 51.6676
1.89107*var13 + 0.0694042*var14 + 14.2925*var2 + 11.1851*var6 - 0.322143*var8 - 51.8567
1.89704*var13 + 0.0689225*var14 + 14.3122*var2 + 11.1936*var6 - 0.321118*var8 - 51.9611
1.89618*var13 + 0.0690254*var14 + 14.311*var2 + 11.1934*var6 - 0.321144*var8 - 51.957
1.89152*var13 + 0.0693968*var14 + 14.3191*var2 + 11.1993*var6 - 0.320921*var8 - 52.0178
1.8935*var13 + 0.0691946*var14 + 14.3225*var2 + 11.1987*var6 - 0.320958*var8 - 52.0282
1.88834*var13 + 0.0697805*var14 + 14.3184*var2 + 11.2008*var6 - 0.320478*var8 - 52.0236
1.89524*var13 + 0.0690188*var14 + 14.3135*var2 + 11.1932*var6 - 0.32105*var8 - 51.9712
1.89807*var13 + 0.0689552*var14 + 14.3218*var2 + 11.1947*var6 - 0.320691*var8 - 51.9856
1.89463*var13 + 0.0692045*var14 + 14.3021*var2 + 11.1877*var6 - 0.321825*var8 - 51.9015
