Equation
1.9947*var13 + 0.0958064*var14 + 14.0481*var2 + 11.0593*var6 - 0.506996*var8 - 49.4654
2.02483*var13 + 0.0947519*var14 + 14.0829*var2 + 11.0342*var6 - 0.503894*var8 - 49.6513
2.02297*var13 + 0.0947271*var14 + 14.075*var2 + 11.0298*var6 - 0.503741*var8 - 49.6001
2.02527*var13 + 0.0948966*var14 + 14.0661*var2 + 11.0387*var6 - 0.503308*var8 - 49.6127
2.02271*var13 + 0.0947438*var14 + 14.0788*var2 + 11.0337*var6 - 0.503584*var8 - 49.6264
2.02407*var13 + 0.0947081*var14 + 14.0826*var2 + 11.0324*var6 - 0.503707*var8 - 49.6308
2.02138*var13 + 0.0947288*var14 + 14.0781*var2 + 11.029*var6 - 0.503742*var8 - 49.6003
2.02354*var13 + 0.0948076*var14 + 14.0719*var2 + 11.0343*var6 - 0.50295*var8 - 49.6111
2.02342*var13 + 0.0946455*var14 + 14.081*var2 + 11.0288*var6 - 0.503567*var8 - 49.6213
2.0226*var13 + 0.0946973*var14 + 14.0876*var2 + 11.0282*var6 - 0.504119*var8 - 49.638
