Equation
1.03788*var13 + 0.0892929*var14 - 0.67425*var15 + 16.7696*var2 + 10.3362*var6 - 55.4305
1.02765*var13 + 0.0888008*var14 - 0.673386*var15 + 16.8006*var2 + 10.3454*var6 - 55.4587
1.02933*var13 + 0.0888075*var14 - 0.674342*var15 + 16.8066*var2 + 10.35*var6 - 55.5
1.03242*var13 + 0.0888344*var14 - 0.674003*var15 + 16.8069*var2 + 10.3476*var6 - 55.4746
1.0241*var13 + 0.0886608*var14 - 0.672878*var15 + 16.7962*var2 + 10.3455*var6 - 55.4529
1.02289*var13 + 0.0888676*var14 - 0.674168*var15 + 16.8119*var2 + 10.3544*var6 - 55.5529
1.02374*var13 + 0.0888619*var14 - 0.67349*var15 + 16.8078*var2 + 10.3516*var6 - 55.5213
1.03104*var13 + 0.0887984*var14 - 0.674276*var15 + 16.8031*var2 + 10.3437*var6 - 55.4523
1.02925*var13 + 0.0889379*var14 - 0.67451*var15 + 16.8107*var2 + 10.3496*var6 - 55.4997
1.0214*var13 + 0.0885823*var14 - 0.673662*var15 + 16.79*var2 + 10.3429*var6 - 55.4267
