Equation
-54.7752*(0.0653406 - 0.151624*var13)*(2.25925*var10 - 2.75406)*(-0.00214213*var14 - 0.139381) - 54.7752*(0.109666 - 0.507903*var2)*(0.115209*var6 - 0.0323243) + 3.25456
37.2338*(0.0742756 - 0.166494*var13)*(3.78649*var10 - 4.84764)*(0.001673*var14 + 0.102244) + 37.2338*(0.250075*var2 - 0.0517824)*(0.343279*var6 - 0.093865) + 3.24358
20.7443*(1.55658*var10 - 1.99234)*(0.125952*var13 - 0.0553453)*(-0.00961117*var14 - 0.59128) + 20.7443*(0.824009*var2 - 0.168609)*(0.186884*var6 - 0.0507729) + 3.18837
16.3321*(0.0578587 - 0.284392*var2)*(0.183747 - 0.687156*var6) + 16.3321*(1.01332*var10 - 1.30019)*(0.162688*var13 - 0.0709116)*(-0.0144462*var14 - 0.888907) + 3.16598
58.4211*(0.0389027 - 0.188341*var2)*(0.0792101 - 0.290486*var6) + 58.4211*(0.0493159 - 0.111343*var13)*(2.10489*var10 - 2.69837)*(0.00287843*var14 + 0.174294) + 3.23758
66.3675*(0.0435489 - 0.159916*var6)*(0.0615341 - 0.300986*var2) + 66.3675*(0.126736 - 0.2877*var13)*(0.350468*var10 - 0.450698)*(0.00583494*var14 + 0.355736) + 3.21343
-22.6593*(0.0175442 - 0.0453623*var13)*(-2.45664*var10 + 0.037919*var14 + 2.92979) - 22.6593*(0.123923 - 0.616561*var2)*(0.228886*var6 - 0.0574533) + 2.8464
7.83936*(0.20841 - 0.486639*var13)*(0.558684 - 0.433466*var10)*(-0.0232472*var14 - 1.43221) + 7.83936*(1.08957*var2 - 0.212856)*(0.373031*var6 - 0.0960988) + 3.05061
-12.8308*(0.0873445 - 0.192083*var13)*(1.5393 - 1.19198*var10)*(0.0135129*var14 + 0.798861) - 12.8308*(0.289659 - 1.04941*var6)*(0.237378*var2 - 0.048649) + 3.2801
14.6028*(0.0402881 - 0.132459*var6)*(0.371039 - 1.66149*var2) + 14.6028*(2.60214*var10 - 3.35786)*(0.328583*var13 - 0.159119)*(-0.00331067*var14 - 0.187701) + 3.61932
