Equation
0.579882*var1 + 2.32939*var13 + 0.0930865*var14 + 14.4941*var2 + 10.987*var6 - 58.1202
0.5739*var1 + 2.317*var13 + 0.092885*var14 + 14.4681*var2 + 10.9452*var6 - 57.8111
0.572438*var1 + 2.31494*var13 + 0.0928362*var14 + 14.45*var2 + 10.9346*var6 - 57.6794
0.572932*var1 + 2.31449*var13 + 0.0929021*var14 + 14.4596*var2 + 10.9399*var6 - 57.7419
0.573376*var1 + 2.31586*var13 + 0.0927887*var14 + 14.4609*var2 + 10.94*var6 - 57.7553
0.573066*var1 + 2.31483*var13 + 0.0930107*var14 + 14.465*var2 + 10.9425*var6 - 57.7587
0.572077*var1 + 2.31226*var13 + 0.0926798*var14 + 14.4338*var2 + 10.922*var6 - 57.5552
0.573037*var1 + 2.31527*var13 + 0.0928826*var14 + 14.4574*var2 + 10.9368*var6 - 57.7223
0.573011*var1 + 2.31461*var13 + 0.0930058*var14 + 14.4603*var2 + 10.9374*var6 - 57.7261
0.57239*var1 + 2.31394*var13 + 0.0929021*var14 + 14.4466*var2 + 10.9291*var6 - 57.6273
