complexity,loss,score,equation,sympy_format,lambda_format
2,26.803635,0.0,myfunction(59.939465),59.9394650000000,PySRFunction(X=>59.9394650000000)
3,25.618881,0.04520789394792534,54.269413 + var13,var13 + 54.269413,PySRFunction(X=>var13 + 54.269413)
4,18.294718,0.3367172343949215,myfunction(var2 / 0.060947526),var2/0.060947526,PySRFunction(X=>var2/0.060947526)
6,3.49191,0.8280817599277368,myfunction((var6 * var2) / 0.31892532),var2*var6/0.31892532,PySRFunction(X=>var2*var6/0.31892532)
8,2.736135,0.12195126190052968,myfunction(((var6 / 0.33641133) * var2) + var13),var13 + var2*var6/0.33641133,PySRFunction(X=>var13 + var2*var6/0.33641133)
9,2.3694396,0.14389286915750388,(((2.9838495 * var2) * var6) + var13) + 0.8136116,var13 + 2.9838495*var2*var6 + 0.8136116,PySRFunction(X=>var13 + 2.9838495*var2*var6 + 0.8136116)
10,1.2357467,0.6509780687324663,myfunction(((var2 * 2.9838495) * var6) + (var13 / var10)),var2*2.9838495*var6 + var13/var10,PySRFunction(X=>var2*2.9838495*var6 + var13/var10)
12,1.2037323,0.013124211393033393,myfunction(((var13 / var10) + ((var2 * 2.9838495) * var6)) + var9),var2*2.9838495*var6 + var9 + var13/var10,PySRFunction(X=>var2*2.9838495*var6 + var9 + var13/var10)
16,1.2035464,3.8612064396512166e-05,myfunction(((((var2 * 2.9838495) * var6) + (-0.25236338 + var9)) + (var13 / var10)) + 0.23171946),var2*2.9838495*var6 + var9 - 0.25236338 + 0.23171946 + var13/var10,PySRFunction(X=>var2*2.9838495*var6 + var9 - 0.25236338 + 0.23171946 + var13/var10)
17,1.2019563,0.0013220523357558923,myfunction(((var6 * (var2 + var2)) / myfunction(0.67045003)) + (((var13 / var10) + var9) * 0.9931791)),var6*(var2 + var2)/0.67045003 + (var9 + var13/var10)*0.9931791,PySRFunction(X=>var6*(var2 + var2)/0.67045003 + (var9 + var13/var10)*0.9931791)
19,1.178749,0.009748386385022853,myfunction(((((var2 * 2.9878666) * var6) + ((myfunction(var13) - 0.14277555) / var10)) + -0.46635187) + (var1 / var3)),var1/var3 + var2*2.9878666*var6 - 0.46635187 + (var13 - 1*0.14277555)/var10,PySRFunction(X=>var1/var3 + var2*2.9878666*var6 - 0.46635187 + (var13 - 1*0.14277555)/var10)
