Equation
"div(div(0.658, div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(div(div(div(div(div(div(add(Si, Si), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), Si), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(div(div(div(div(add(Si, Si), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), Si), div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(div(div(add(Si, Si), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(add(Si, Si), div(-0.389, div(-0.889, 0.658))))), Si)"
"div(div(div(div(add(Si, Si), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(div(div(add(Si, Si), div(-0.389, div(-0.389, div(-0.889, 0.658)))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(div(div(add(Si, Si), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(div(div(div(-0.889, 0.658), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(add(Si, Si), div(-0.389, div(-0.889, 0.658))), Si)"
"div(div(div(-0.389, div(-0.889, 0.658)), div(-0.389, div(-0.889, 0.658))), Si)"
