Key,Train RMSE,Test RMSE,Time Taken
Full,16.066203249768886,17.120054238973044,293.46926164627075
PCA,19.459237989112303,20.212544193806643,315.74330735206604
Lasso,22.62678026215268,19.630147888483098,333.2880115509033
