Feature,Importance
Asb14_29409,0.21920059562337854
Gm21190_82342,0.17397037349756467
Cyp1a1_79654,0.08572351694242213
Myc_30907,0.06818239835264754
Tacr1_72530,0.041435057834666174
Cacng7_59342,0.03188837294048979
Hcn2_57591,0.03024072152658556
Dydc1_55826,0.025195121569178965
Aldh3a1_60545,0.02317058361269921
Hist1h2bc_29206,0.02170061287666924
Ugt8a_79952,0.02149517534956917
Egr1_58083,0.020518444767053046
Myl3_75394,0.020007982060805944
Rpl3l_76369,0.018261077263300052
Rsph3b_31489,0.01694458573832301
Myl2_32080,0.016802405191076522
Lipo5_56386,0.016493134096900824
Ky_60676,0.015579682376565703
Slc35f3_61620,0.014725947947699783
Igkv16-104_74538,0.014276866136508954
Igkv6-15_64030,0.013940293154081582
AC132444.6_82305,0.012201133468280846
Arf1_31811,0.011849789867262712
Syt14_59917,0.010792731782979615
Nkain4_74119,0.010522010509528517
Slurp1_55564,0.008305650828612883
Mettl14_68520,0.008021626229081553
Fam76b_71997,0.007967286522410251
Ephb6_66860,0.007624507459589791
Eef1a2_67152,0.006682326321700241
March3_58049,0.0062799881523673525
