HOF equation,Train RMSE,Test RMSE
1,22.623603970076964,19.449652136277184
2,20.240445582049126,17.113417237598004
3,19.75960510720745,17.36233657475957
4,19.071943769688538,22.43145648580377
5,19.071834777183316,22.417270764783105
6,19.06865144003088,22.29311651616142
7,18.960095970907382,18.418724474109062
8,16.810708211198687,48.407109198147594
9,16.810701896406314,48.378094565147016
