Input,Training RMSE,Test RMSE,Time Taken
Full,17.819725733350612,18.01228735413435,45.364744663238525
PCA,17.811234315385555,20.150389890100865,44.90052604675293
Lasso,18.454525631716688,19.37597805458373,44.631383657455444
