Input,Training RMSE,Test RMSE,Time Taken
Full,17.81972566947925,18.01158467762706,45.50402331352234
PCA,19.21985391585724,19.823036443100968,45.22565460205078
Lasso,18.45452527989321,19.374397297724055,45.824313163757324
