Input,Training RMSE,Test RMSE,Time Taken
Full,17.819725669469296,18.011575246379532,45.47242569923401
PCA,17.811234223343245,20.15084349800749,45.9046368598938
Lasso,18.454528780636426,19.37392602976232,45.376413106918335
