Input,Training RMSE,Test RMSE,Time Taken
Full,17.819725687929918,18.01119329536786,47.273367166519165
PCA,17.811234328647224,20.151293029421577,44.31423735618591
Lasso,18.454526083335058,19.37431443853322,43.980546712875366
