Input,Training RMSE,Test RMSE,Time Taken
Full,4.140917667061442,3.800851812966982,236.05751061439514
PCA,4.046980751107281,4.0434204770705096,241.14743399620056
Elastic,3.953950016975488,3.901118888056412,249.08768820762634
