Equation
59.8*exp(-0.249*(1 - 0.275*PC3)**2*(-0.235*PC1 - 1)**2 - 2.0*exp(-1.6*(-PC4 - 0.312)**2 - 4.0*tanh(0.189*PC3 + 0.386)**2)) + 47.4
93.5*exp(-0.117*(1 - 0.716*PC4)**2 - 2.0*(exp(-2.24*(1 - 0.259*PC4)**2 - 1.09*(0.272*PC1 - 1)**2) + exp(-0.0221*(-PC3 - 0.867)**2 - 0.29*(-PC4 - 0.486)**2))**2) + 42.4
97.2*exp(-0.172*(1 - 0.589*PC4)**2 - 2.0*(exp(-0.0853*(PC1 + 0.789)**2 - 2.63*(0.268*PC4 - 1)**2) + exp(-0.0253*(-PC3 - 0.586)**2 - 0.462*(PC4 + 0.378)**2))**2) + 43.9
-40.6*(-0.011*PC4 - 1.43)*exp(-0.236*(1 - 0.311*PC3)**2*(0.224*PC1 + 1)**2 - 2.0*exp(-0.286*(0.439*PC3 + 1)**2 - 1.81*(-PC4 - 0.275)**2)) + 48.0
78.2*exp(-0.175*(1 - 0.434*PC2)**2 - 7.55*(-0.172*PC4 + (0.319 - 0.32*PC3)*(0.125*PC1 + 0.668)*(0.356*PC4 - 1)**2 + 0.352)**2) + 52.2
79.1*exp(-0.562*(1 - 0.328*PC1)**2*exp(-1.28*(0.122*PC3 + 1)**2 - 1.37*(-PC4 - 0.198)**2) - 2.0*exp(-5.22*(0.191*PC2 + 1)**2 - 0.127*exp(0.321*PC4))) + 31.2
81.2*exp(-0.157*(0.444*PC2 - 1)**2 - 2.0*(exp(-1.97*(0.146*PC1 - 1)**2 - 4.32*(0.27*PC4 - 1)**2) + exp(-0.142*(0.346*PC3 + 1)**2 - 0.6*(-PC4 - 0.0851)**2))**2) + 45.8
5.75*PC4 + 41.6*(-0.0902*PC4 - 1.48)*exp(-2.0*(-0.158*PC3 - 0.163 + exp(-1.91*(1 - 0.493*PC4)**2))**2) + 112.0
101.0*exp(-0.497*(1 - 0.155*PC3)**2*(-0.101*PC1 - 1)**2 - 2.0*exp(-0.924*(-PC4 - 0.727)**2 - 0.113*(-0.705*PC1 - PC2 + 0.0757)**2)) + 37.0
82.4*exp(-0.234*(0.39*PC2 - 1)**2 - 4.0*(0.0282*PC1 + (1.47 - 0.185*PC3)*exp(-0.17*(-0.367*PC2 - 1)**2 - 0.358*(0.63*PC4 + 1)**2) + 0.0691)**2) + 51.0
