chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var2,(2.868321 * (var13 + (var2 * var6))) + var11,2.868321*var6,267.8924972602966,9.0,2.006346,0.0380160963032075,var11 + 2.868321*(var13 + var2*var6),PySRFunction(X=>var11 + 2.868321*(var13 + var2*var6)),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,13.21943343570309,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
var2,myfunction(myfunction(myfunction(var13 / var10) + myfunction(2.059933 * ((myfunction(var2) * myfunction(myfunction(1.4563581))) * var6)))),3.0000001100073*var6,280.1909274627981,18.0,3.3932583e-06,0.0009164889637238,2.059933*var2*1.4563581*var6 + var13/var10,PySRFunction(X=>2.059933*var2*1.4563581*var6 + var13/var10),No_noise_all_var,med
var2,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),3.0*var6,280.19091718844913,19.0,2.9456035e-06,0.1414768905166125,var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10),No_noise_all_var,med
var2,3.1416786 * (var6 * var2),3.1416786*var6,293.42326948177435,5.0,3.384778,1.5278587396749532,3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6),No_noise_all_var,med
var2,myfunction(var13 + ((var6 * var2) * 3.0555756)),3.0555756*var6,285.38150996754865,8.0,2.0840878,0.1616523557450782,var13 + var6*var2*3.0555756,PySRFunction(X=>var13 + var6*var2*3.0555756),No_noise_all_var,med
var2,(2.868321 * (var13 + (var2 * var6))) + var11,2.868321*var6,267.8924972602966,9.0,2.006346,0.0380160963032075,var11 + 2.868321*(var13 + var2*var6),PySRFunction(X=>var11 + 2.868321*(var13 + var2*var6)),No_noise_all_var,med
var2,myfunction(((var2 * var6) * 3.0) + (var13 / var10)),3.0*var6,280.19091718844913,10.0,3.6414876e-06,13.21943343570309,var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10),No_noise_all_var,med
var2,myfunction((var13 / var10) + (2.5025284 * (var2 * (var6 * 1.1987876)))),3.00000001456784*var6,280.1909185490413,12.0,3.411969e-06,0.0325513677360062,2.5025284*var2*var6*1.1987876 + var13/var10,PySRFunction(X=>2.5025284*var2*var6*1.1987876 + var13/var10),No_noise_all_var,med
