chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
<<<<<<< HEAD
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0043552938299713,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0021539222547606,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0021539222547606,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0021539222547606,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0021539222547606,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0021539222547606,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0021539222547606,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
var5,(((3.0252337 * var6) * var2) + (var13 / var10)) - log(sqrt(var5)),-1/(2*var5),-0.7971048387219059,13.0,1.1079566,0.0021539222547606,3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10,PySRFunction(X=>3.0252337*var2*var6 - log(sqrt(var5)) + var13/var10),Noise=1,high
=======
