Feature,Importance
Gm21190_82342,0.06568868394559989
Asb14_29409,0.053553586058862936
Wdr72_57018,0.05164154193944934
Gdnf_29292,0.024547669930930313
Mt2_76492,0.023689612011176926
Rgs22_79648,0.022425250973601835
Maff_30224,0.02043430147758252
Trp53bp2_78430,0.019342451324458786
Cyp1a1_79654,0.018090037189982217
Slc26a4_56472,0.017808553171452624
Cyp1b1_72511,0.01772184100791419
Srm_62972,0.017316897710164297
Tgm1_60333,0.016591573501833504
Adamts5_56833,0.015448169963833783
Gm5737_59680,0.014003706937440958
P,0.01287538468441238
Stpg1_80557,0.012426461043061379
Eugenol,0.011898983983405303
Pstk_65222,0.010590582645270711
Acod1_54942,0.010532407794749512
Sfn_31323,0.0103656911137884
Myc_30907,0.008708950062790734
Csf2_61958,0.007850651981922547
Rhof_64396,0.007688315979904702
Guaiacol,0.0070254730061048805
Tacr1_72530,0.006937753767602675
Ubash3a_72205,0.0068859052689712345
Kbtbd7_76521,0.006729105442837462
Ighv2-6_70078,0.006560118408703597
Cr,0.0063471437505904825
Islr_61666,0.006176426545027324
Stx11_69405,0.005978765209442799
Fpr1_72651,0.005623118356872905
Ubxn2b_58845,0.00557112057806972
NO3,0.0054420548792809
Hist1h2bc_29206,0.005308531299130297
Stx11_67128,0.005147144300292352
Hspa1b_32188,0.005147088104105065
Sh2d1b1_55581,0.0050594788322599425
Arntl_59197,0.0048052428530167175
Sh3gl2_31946,0.004733844648466423
Ti,0.004692050228807831
Stab1_67351,0.004451547565853276
Cxcl10_29431,0.004162947312733925
Ly75_62085,0.0041325149521177305
Atp6v0d2_76694,0.00407831444661246
Tspan4_30708,0.003985609384430228
mt-Nd3_82089,0.0038849708864629427
Wnt7a_61150,0.0038695338586696025
Zfp672_67722,0.0038546395764345433
Muc5b_58389,0.0037317972337535723
Isoeugenol,0.0036979710421133406
Si,0.0036055483234676776
Trmt61a_77219,0.0035876150508481336
Abtb2_59723,0.0035173528785113818
Plscr4_55764,0.0034857810949621266
Hfe2_69619,0.003465822225830888
Slitrk6_57432,0.0034074974487038594
Propylguaiacol,0.0033804406741552483
Csrnp1_69505,0.003365089171565267
Tmem117_56678,0.0033231269241736834
Calcb_60189,0.003315446195153688
Gsta1_31374,0.0032886065979820713
Gm13238_30264,0.0032761555729500145
Snx11_32113,0.003246332812433274
Sema7a_72108,0.003185668035514107
Dydc1_55826,0.0031509170523132397
Ccl6_74906,0.0030702165781252384
Actr3b_60038,0.0030399206821872583
Hcn2_57591,0.0030057436971956215
Hmox1_55177,0.0029427521002225523
Cd,0.0028856554746009475
Fam19a1_59360,0.0028131373159137963
Art1_56953,0.0027501793431780565
Folr2_70164,0.0027439936049895057
mt-Nd4l_82096,0.002723057328943873
Myl3_75394,0.0026441458521558278
Aldh3a1_60545,0.0026339269753875563
Fosl1_30439,0.002590903485753731
Docosane,0.0025595092635407285
Nrg1_67125,0.0025177507529732333
Ugt8a_79952,0.0024931472405217525
Btbd9_60652,0.002432501571244564
Serpina3n_29367,0.0024031894621718434
Hebp2_68529,0.0023529629811253573
Wt1_63516,0.0023110260453864813
Tricosane,0.0023075059610141915
Slc2a4_76116,0.0022589657492394304
Alg11_64834,0.002256558782503188
Elovl6_74600,0.0022493124867503716
Myc_66507,0.0022458729101163697
Dnajc28_64398,0.0022255640729207725
Il4i1_71608,0.0022222362390789756
Dibenzofuran,0.002188751122578457
Gm13889_55024,0.0021766120723550803
Vanillin,0.002160347666270635
Esm1_60954,0.0021435329730449355
Lmod2_64472,0.0021410269468488726
Cdkn2a_67661,0.0020986596037844162
Cacng7_59342,0.0020824012083332714
Slit2_63410,0.0020803134441212566
Nppa_58684,0.0020679057486892357
Nrg1_74185,0.002058547780913033
Nrap_65543,0.0020487209736574515
Hsph1_73551,0.0020298941204640957
Hsph1_69147,0.0019766390395708597
Btnl9_55542,0.001968419679634851
SO4,0.0019460718073169758
2310061I04Rik_71692,0.0019030308074431393
Parp11_69369,0.001900516132765927
Galnt17_63802,0.0018112268573070441
Nog_54804,0.0017886847566191903
Tnip1_29881,0.001769126820624934
Zfp280b_78252,0.0017313424701167837
3110001I22Rik_68551,0.0017163443515723813
Bdkrb2_54168,0.0017127529120973034
Socs3_79479,0.0016847715127651962
Methoxymethyl phenol,0.001662635404471056
Fosb_75538,0.0016175994827000203
Spp1_63768,0.0015980558849324738
Sult1d1_55051,0.0015945450641831162
Tmem161a_67011,0.0015777395264988212
mt-Nd1_82075,0.001569157699371838
Rgs16_60383,0.001534634459241459
Osgin1_79857,0.001532661026325515
Slc35f3_61620,0.0015136937820831938
Egr1_58083,0.001507640253534889
Adam33_72301,0.0014972313931053663
Rsph3b_31489,0.0014915665421075118
Mg,0.0014864992554076124
Lipo5_56386,0.0014727582798888257
Retene,0.0014581177855067101
Car3_29855,0.0014514493926145176
Fscn1_74998,0.001422222282643976
Fpr2_31644,0.0013678144862520581
Nqo1_29503,0.0013533858463957002
Ba,0.001348899331029624
Fcer1g_31620,0.0013454904623786735
Gm3604_56243,0.0013374259073693502
Cl,0.0013324138420343981
Rpl3l_76369,0.0013252511435562849
Acta1_74234,0.0013052261654839489
Fam83h_59213,0.0013044367211325866
Zfp760_55727,0.0012924762602059174
Ethylguaiacol,0.0012647973382532314
Mn,0.0012494011433730125
Ptpn1_29137,0.0012309476195243188
Arf1_31811,0.0012251422880778043
Ni,0.0012036543972851193
Ube3a_65027,0.0012035018856218892
mt-Nd3_82088,0.001202292183735434
Heneicosane,0.0011946791543547338
Syt14_59917,0.0011917437730595852
