HOF equation,Train RMSE,Test RMSE
1,22.62360397006378,19.44965447867905
2,19.363611919536996,18.838158992779647
3,18.481362731168552,20.266890993523656
4,18.48136275831142,20.2662104510714
5,18.349373644862037,20.837435074079046
6,18.22427795070326,19.03496045576238
7,16.455804119762213,20.174462005679292
8,16.45081632103852,20.201548398729578
9,15.685822492355877,20.49861108005283
10,15.618656814678348,21.080038987957398
11,14.797625302497654,20.110074475958797
