Feature,Importance
Eugenol,0.28288656
Guaiacol,0.17088911
Asb14_29409,0.09285398
Gm21190_82342,0.080966845
Tcap_31038,0.040698495
Hfe2_69619,0.027323544
Muc5b_58389,0.025113784
Tgm1_60333,0.02312192
Rpl3l_76369,0.022172546
Gm5737_59680,0.0195034
Adamts5_56833,0.01806761
K,0.01534593
Serpina3n_29367,0.014873552
Gm13238_30264,0.013174893
Slc26a4_56472,0.012560178
Alg11_64834,0.011659252
Plscr4_55764,0.009032906
Myl3_75394,0.008015502
Sgcg_29583,0.007631392
Lipo5_56386,0.0072005815
Acod1_54942,0.007020229
Ifi44_55588,0.0060281856
Mypn_29309,0.0057463297
Hist1h2bc_29206,0.0053130547
Tacr1_72530,0.004703784
Rgs22_79648,0.004520187
Sh3gl2_31946,0.0043116543
Cxcl10_29431,0.004060567
Sema7a_72108,0.0031511371
Fpr1_30738,0.0031084074
Kbtbd7_76521,0.0029945006
Coniferyl aldehyde,0.0029429372
Pstk_65222,0.0029250458
Zmiz2_62411,0.0029163242
Eef1a2_67152,0.0027088928
Zfp52_62706,0.0024882134
Csf2_61958,0.0024534226
Cyp1a1_79654,0.0023116374
Acyp1_74193,0.00220624
Egr1_58083,0.0018892251
Vanillin,0.0018604945
Nkain4_82157,0.0017829638
Myc_30907,0.0016322819
Btnl9_55542,0.0014574842
Dydc1_55826,0.0014521112
Igkv16-104_74538,0.0014304315
Ephb6_66860,0.0012363084
mt-Nd3_82089,0.0011695798
Fpr1_72651,0.0010658379
EAR12_31077,0.0009274501
Siglecf_71530,0.00091551547
Cdkn2a_67661,0.00091266766
Rsph3b_31489,0.00091097644
Cyp1a1_29719,0.0008610343
Lsamp_31051,0.00081483804
Arf1_31811,0.0006207754
Mt1_76728,0.0005867602
AC132444.6_82305,0.00058502296
Zfp994_73585,0.00045809447
Rps26_78862,0.00036633396
Ckmt2_30858,0.0003380137
Alox15_61552,0.00026404863
Nkain4_74119,0.00025031963
Rraga_80101,0.00024846467
March3_58049,0.00022070024
Ccdc186_58520,0.00015958007
Actn2_32214,0.000158716
Snx11_32113,0.00013990243
Atp6v0d2_76694,6.9573114e-05
Mettl14_68520,4.3858225e-05
mt-Nd4l_82096,4.006768e-05
Mcur1_30741,3.783807e-05
Gbp4_72637,3.5554225e-05
Dusp11_79084,2.569506e-05
Kdm6a_65647,1.7409271e-05
Methoxymethyl phenol,8.6583395e-06
Syt14_59917,1.1550732e-06
Trdmt1_72939,1.0049719e-06
Isoeugenol,3.8185087e-07
Ethylguaiacol,1.7864156e-07
