,Variable,Coefficient
68,K,0.5572055376145396
77,Si,0.4557819640756077
71,Na,0.3943613072589629
73,P,0.3456127314886203
58,Syringealdehyde,0.08085836968624652
80,Zn,0.07830769545919927
67,Fe,0.07478620149582134
52,Ethylguaiacol,-0.39790735554703033
54,Guaiacol,-0.4166842069804135
53,Eugenol,-0.4269502897169137
56,Methoxymethyl phenol,-0.4424142129195274
48,Retene,-0.47062601607065774
59,Vanillin,-0.5830674511842745
55,Isoeugenol,-1.9129312773764104
