Equation
-13.8957*(0.00789923 - 0.135677*chem6)*(1.6129*chem2 - 0.0537921) - 13.8957*(0.105314 - 0.333644*chem13)*(0.553936*chem10 - 0.752784)*(-0.00965252*chem14 - 0.841766) + 0.775647
23.4338*(0.00586784 - 0.107423*chem6)*(0.0342843 - 1.20581*chem2) + 23.4338*(0.0566671 - 0.184275*chem13)*(0.610947*chem10 - 0.842841)*(0.00922708*chem14 + 0.796662) + 0.696816
24.254*(0.0102972 - 0.358956*chem2)*(0.0191864 - 0.348754*chem6) + 24.254*(4.0599 - 2.94657*chem10)*(0.18161*chem13 - 0.05619)*(0.00187756*chem14 + 0.162739) + 0.696507
-21.9548*(0.0185994 - 0.339842*chem6)*(0.406975*chem2 - 0.0115396) - 21.9548*(0.0478032 - 0.155292*chem13)*(3.83884 - 2.78512*chem10)*(0.00256934*chem14 + 0.222222) + 0.691531
33.3272*(0.0193706 - 0.0632017*chem13)*(1.48946*chem10 - 2.05425)*(0.00777254*chem14 + 0.67147) + 33.3272*(0.241744*chem2 - 0.0070237)*(0.376904*chem6 - 0.0208137) + 0.688962
47.0094*(0.848838 - 0.614429*chem10)*(0.0942761*chem13 - 0.0288514)*(0.00892313*chem14 + 0.771275) + 47.0094*(0.396886*chem2 - 0.0112259)*(0.162623*chem6 - 0.00867893) + 0.682308
-16.3712*(0.0137739 - 0.252595*chem6)*(0.734113*chem2 - 0.020684) - 16.3712*(2.02395*chem10 - 2.78991)*(0.0547273*chem13 - 0.0166137)*(0.0133767*chem14 + 1.16096) + 0.680095
-13.4311*(0.0431869 - 1.55598*chem2)*(0.145133*chem6 - 0.00790945) - 13.4311*(0.0810375 - 0.265274*chem13)*(2.53458*chem10 - 3.49462)*(-0.00269441*chem14 - 0.233007) + 0.673458
-15.8863*(0.016842 - 0.312198*chem6)*(0.611942*chem2 - 0.0169559) - 15.8863*(0.103471 - 0.341604*chem13)*(0.774139*chem10 - 1.06966)*(-0.00575708*chem14 - 0.499053) + 0.674183
-16.5426*(0.0242403 - 0.442343*chem6)*(0.414288*chem2 - 0.0113077) - 16.5426*(0.993568*chem10 - 1.37307)*(0.368353*chem13 - 0.110832)*(0.00399918*chem14 + 0.347078) + 0.656922
