Equation
1.9295*chem13 + 0.0996259*chem14 + 14.1411*chem2 + 11.1225*chem6 - 0.52121*chem8 - 50.003
1.93799*chem13 + 0.099072*chem14 + 14.1193*chem2 + 11.0955*chem6 - 0.519093*chem8 - 49.8246
1.93809*chem13 + 0.0988835*chem14 + 14.1143*chem2 + 11.0915*chem6 - 0.519208*chem8 - 49.7888
1.93788*chem13 + 0.0989246*chem14 + 14.1134*chem2 + 11.0914*chem6 - 0.519045*chem8 - 49.7847
1.93869*chem13 + 0.0990181*chem14 + 14.1131*chem2 + 11.0916*chem6 - 0.519429*chem8 - 49.7895
1.93803*chem13 + 0.0988442*chem14 + 14.1186*chem2 + 11.0944*chem6 - 0.518956*chem8 - 49.8175
1.93816*chem13 + 0.0988859*chem14 + 14.1123*chem2 + 11.0897*chem6 - 0.519127*chem8 - 49.7727
1.93815*chem13 + 0.0989014*chem14 + 14.1163*chem2 + 11.0924*chem6 - 0.519148*chem8 - 49.7899
1.93956*chem13 + 0.0987251*chem14 + 14.1203*chem2 + 11.094*chem6 - 0.518783*chem8 - 49.8134
1.93812*chem13 + 0.0987674*chem14 + 14.1137*chem2 + 11.0915*chem6 - 0.518941*chem8 - 49.7767
