Equation
0.683232*chem1 + 2.53191*chem13 + 0.0976187*chem14 + 14.8807*chem2 + 10.8752*chem6 - 59.9224
0.680607*chem1 + 2.51961*chem13 + 0.097471*chem14 + 14.836*chem2 + 10.8663*chem6 - 59.7091
0.68086*chem1 + 2.51847*chem13 + 0.0975917*chem14 + 14.8417*chem2 + 10.8721*chem6 - 59.7761
0.680659*chem1 + 2.51927*chem13 + 0.0974302*chem14 + 14.829*chem2 + 10.8629*chem6 - 59.6798
0.681329*chem1 + 2.51861*chem13 + 0.0974338*chem14 + 14.8298*chem2 + 10.8635*chem6 - 59.6824
0.681229*chem1 + 2.51914*chem13 + 0.0973854*chem14 + 14.8188*chem2 + 10.8562*chem6 - 59.6174
0.680702*chem1 + 2.51961*chem13 + 0.0974096*chem14 + 14.8236*chem2 + 10.8591*chem6 - 59.6332
0.68076*chem1 + 2.51813*chem13 + 0.0974481*chem14 + 14.8276*chem2 + 10.8622*chem6 - 59.6647
0.681034*chem1 + 2.51863*chem13 + 0.0974218*chem14 + 14.8142*chem2 + 10.8549*chem6 - 59.5964
0.681042*chem1 + 2.51895*chem13 + 0.0974519*chem14 + 14.8323*chem2 + 10.865*chem6 - 59.6925
