Equation
-12.972*(-0.111025*chem13 - 0.016188)*(0.530401*chem9 + 0.492662 + 6.1228*exp(-4.37663*chem10)) - 12.972*(0.37372*chem2 - 0.00551915)*(-0.62412*chem6 - 0.0221878) - 0.729056
0.918873*chem13 + 11.3906*(0.0147558 - 0.278623*chem6)*(0.0823663 - 0.969506*chem2) + 348.433*(0.0190279*chem13 + 0.0111527)*exp(-3.79838*chem10) + 0.271028
-15.0868*(0.0177174 - 0.145007*chem6)*(1.43737*chem2 - 0.22944) - 15.0868*(-0.0994603*chem13 - 0.0707068)*(0.275946*chem12 + 0.481795 + 3.93049*exp(-3.19929*chem10)) + 0.383348
0.857975*chem13 - 8.3535*(0.0451946 - 0.352261*chem2)*(1.05919*chem6 - 0.138791) - 43.072*(-0.135895*chem13 - 0.100477)*exp(-3.43119*chem10) + 0.984566
125.243*(-0.658789*chem13 - 0.0127853)*(-0.0519069*chem9 - 0.0467639)*exp(-1.71594*chem10) + 29.7368*(0.463635*chem2 - 0.0368543)*(0.223938*chem6 - 0.0148437) + 0.33999
10.2204*(-0.104767*chem13 - 0.0529009)*log(0.503713*chem10 - 0.0882736) + 10.2204*(0.301949*chem2 - 0.0434386)*(1.01734*chem6 - 0.168075) + 0.892454
0.994854*chem13 + 4.01617*(0.0846359 - 0.45566*chem6)*(0.293889 - 1.72111*chem2) + 16.2781*(0.355405*chem13 + 0.312812)*exp(-3.69184*chem10) + 1.57934
-7.25659*(0.23578 - 1.49348*chem2)*(0.290788*chem6 - 0.044662) - 7.25659*(-0.176569*chem13 - 0.165646)*(0.0713035*chem11 + 0.401318 + 3.78133*exp(-2.54958*chem10)) + 0.485115
-18.0099*(0.00640674 - 0.1685*chem6)*(0.203748*chem10 + 1.0067*chem2 - 0.225996) - 26.1514*(-0.19292*chem13 - 0.319406)*exp(-1.80381*chem10) - 1.57785
27.2196*(0.0627986 - 0.43825*chem2)*(0.212624*chem6 - 0.0274853)*(-0.00196682*chem8 - 1.23) + 76.2417*(0.0733607*chem13 + 0.0326684)*exp(-2.24784*chem10) + 0.862297
