Equation
31.1849*(0.138851*chem2 - 0.0127758)*(-0.0255451*chem3 + 0.689944*chem6 + (1.04713*chem11 + 0.965004)*(0.0784708*chem13 + 0.300341) - 0.107324) + 0.259501
-22.6364*(0.168839*chem2 + 0.000709421)*(0.0273204*chem3 - 0.764273*chem6 + (-0.499791*chem11 - 0.401508)*(0.201874*chem13 + 0.588155) - 0.0784784) - 1.17699
-18.6141*(0.0773977*chem2 - 0.0185555)*(0.0332083*chem3 - 5.44483)*(0.425687*chem6 + (0.317844*chem11 + 0.680646)*(0.0781885*chem13 + 0.741148) - 0.668926) + 2.9163
25.0174*(-0.0456196*chem13 - 0.288534*chem6 - 0.00381486)*(-0.00654316*chem15 + (0.513482 - 0.255351*chem2)*(0.41841*chem11 + 1.42685) - 0.828529) - 0.375157
-35.4354*(-0.0192446*chem13 - 0.735365)*(-0.240523*chem2 - 0.0331472)*(-0.440281*chem6 + (1.6005 - 1.3208*chem11)*(0.0158298*chem3 + 0.0250671) - 0.406404) - 2.84728
13.9735*(-0.0453512*chem13 - 0.309517*chem6 - 0.0400227)*(0.0112508*chem3 + (-0.412727*chem11 - 1.9825)*(0.321087*chem2 - 0.543643) - 1.2218) - 0.123957
19.4843*(-0.0536632*chem13 - 0.338709*chem6 - 0.00672074)*(-0.00724289*chem15 + (-0.695106*chem11 - 2.35131)*(0.169241*chem2 - 0.343189) - 0.914624) - 0.451103
-38.4285*(-0.0249114*chem13 - 0.178281*chem6 - 0.0186025)*(-0.0070123*chem3 + (0.153823*chem11 + 0.949675)*(0.434067*chem2 - 0.502512) + 0.527764) + 0.286871
-13.4461*(0.0532979*chem13 + 0.382752*chem6 - 0.0214275)*(-0.00731088*chem8 + (-0.682038*chem11 - 2.44793)*(0.216668*chem2 - 0.462752) - 1.18986) + 0.52916
19.7059*(-0.0359285*chem13 - 0.455146*chem6 + 0.0448644)*(-0.00929916*chem13 + (0.441386 - 0.101009*chem10)*(2.26349 - 0.943604*chem2) - 0.806589) + 0.83984
