Equation
30.6161*(-0.130466*chem6 - 0.0999483)*(-0.0644664*chem13 + (1.14964 - 0.293826*chem12)*(-0.345081*chem11 - 0.656729)*(0.791925*chem2 - 2.47329) - 2.37445) - 7.94993
-28.8187*(0.215839*chem6 + 0.191889)*(-0.0413194*chem13 + (0.704858*chem11 + 1.2787)*(0.35336*chem12 - 1.31423)*(0.223405*chem2 - 0.703707) - 1.53203) - 8.99639
55.7148*(-0.176284*chem6 - 0.163188)*(-0.026263*chem13 + (0.383642 - 0.107176*chem12)*(-0.160385*chem11 - 0.279439)*(2.18959*chem2 - 6.97523) - 0.977716) - 9.33856
29.2072*(0.28579*chem10 - 1.36027)*(-0.00132404*chem14 - 1.11321)*(0.0411863*chem13 + (0.160878*chem2 - 0.0615304)*(0.568055*chem6 - 0.250089) - 0.857595) + 35.8819
-20.4911*(1.23016 - 0.250201*chem10)*(-0.00132378*chem14 - 0.991039)*(0.0735218*chem13 + (0.070318 - 0.165472*chem2)*(0.521762 - 0.984861*chem6) - 1.44263) + 35.436
-16.7272*(1.30313 - 0.253626*chem10)*(0.00170268*chem14 + 1.12549)*(-0.0747401*chem13 + (0.651159 - 1.06068*chem6)*(0.157154*chem2 - 0.0735268) + 1.35362) + 34.1919
-55.813*(0.287747*chem10 - 1.48904)*(0.000371216*chem14 + 0.242768)*(0.0907698*chem13 + (1.61362*chem2 - 0.774463)*(0.125976*chem6 - 0.0776216) - 1.61403) + 33.6533
-28.9513*(0.339774*chem6 + 0.29983)*(-0.0268536*chem13 + (0.724267*chem11 + 1.27738)*(0.338353*chem12 - 1.26634)*(0.145944*chem2 - 0.459475) - 0.965815) - 8.7243
1.27995*chem13 + 9.01108*chem6 - 19.9079*(0.835884 - 0.293313*chem2)*(2.96649 - 1.18681*chem10)*(0.244265*chem6 + 0.0880749) - 2.18583
1.2806*chem13 + 9.03535*chem6 - 21.6867*(1.19299 - 0.479447*chem10)*(0.9599*chem2 - 2.74227)*(-0.170665*chem6 - 0.061171) - 2.20094
