Equation
1.0892*chem5 - 15.1423*(1.33872 - 1.4011*chem6)*(0.167528*chem2 - 0.0898112) - 15.1423*(2.69829*chem10 - 3.06967)*(0.0724224*chem13 + 0.0487423) + 5.88628
-10.4773*(0.142836 - 0.233275*chem2)*(1.48572*chem6 - 1.55898) - 10.4773*(2.47161*chem10 - 3.18724)*(0.0925022*chem13 + 0.0689274*chem5 - 0.0948954) + 9.36785
-11.7272*(0.129609 - 0.195413*chem2)*(1.61957*chem6 - 1.85091) - 11.7272*(2.43674 - 1.85554*chem10)*(-0.105466*chem13 - 0.0810839*chem5 + 0.0958543) + 9.96441
1.00629*chem5 - 16.114*(0.17619 - 0.334008*chem2)*(0.657604*chem6 - 0.613937) - 16.114*(2.02605 - 1.72074*chem10)*(-0.10235*chem13 - 0.0638354) + 5.89877
29.5606*(1.06981 - 0.820503*chem10)*(0.108785*chem13 + 0.02238*chem7 - 0.277226) + 29.5606*(0.197402*chem2 - 0.0583365)*(0.552653*chem6 - 0.227395) + 5.76531
-9.78922*(0.173279 - 0.285874*chem2)*(1.29275*chem6 - 1.33027) - 9.78922*(2.411 - 1.82772*chem10)*(-0.128391*chem13 - 0.0921222*chem5 + 0.108281) + 9.0816
0.266058*chem7 + 18.7734*(0.116002 - 0.130261*chem13)*(1.1497*chem10 - 1.46289) + 18.7734*(0.319646*chem2 - 0.10639)*(0.54728*chem6 - 0.268309) + 4.22006
16.0378*(0.0890159 - 0.0917812*chem13)*(1.79873*chem10 - 2.37355) + 16.0378*(0.999427*chem2 - 0.46682)*(0.115359*chem6 - 0.0784414)*(0.0122557*chem7 + 1.77112) + 8.16516
12.5349*(0.0859946 - 0.178293*chem2)*(0.796439 - 1.10695*chem6)*(0.00995913*chem7 + 1.32973) + 12.5349*(0.350729 - 0.366582*chem13)*(0.567795*chem10 - 0.756711) + 8.42328
0.258022*chem7 - 26.422*(0.0541947 - 0.0615445*chem13)*(2.20301 - 1.72537*chem10) - 26.422*(0.0757207 - 0.146439*chem6)*(0.852255*chem2 - 0.295957) + 4.46322
