Equation
"add((2.87479787288034*mul(add((2.87479787288034*mul(var2, var6), 0), var6), var6), 0), var6)"
"add((2.87479787288034*mul(add((2.87479787288034*mul(var2, var6), 0), var6), var6), 0), var6)"
"add((2.87479787288034*mul(add((2.87479787288034*mul(var2, var6), 0), var6), var6), 0), var6)"
"add((2.87479787288034*mul(add((2.87479787288034*mul(var2, var6), 0), var6), var6), 0), var6)"
"add((2.87479787288034*mul((2.87479787288034*mul(var2, var6), 0), var6), 0), var6)"
"add((2.87479787288034*mul((2.87479787288034*mul(var2, var6), 0), var6), 0), var6)"
"add((2.87479787288034*mul(add((2.87479787288034*mul(var2, var6), 0), var6), var6), 0), var6)"
"add((2.87479787288034*mul((2.87479787288034*mul(var2, var6), 0), var6), 0), var6)"
"add((2.87479787288034*mul((2.87479787288034*mul(var2, var6), 0), var6), 0), var2)"
"add((2.87479787288034*mul((2.87479787288034*mul(var2, var6), 0), var6), 0), var6)"
