Equation
"sub(var10, var15)"
"add(add(var6, var3), add(add(add(var6, var6), add(add(var6, var6), var6)), add(add(var2, add(add(add(var6, var6), var6), add(add(add(var6, var6), var6), add(add(add(var6, var6), var6), add(var6, var3))))), var6)))"
"add(add(add(var6, add(var6, add(add(add(var6, add(add(var6, add(var6, var6)), add(add(var6, var6), var3))), add(var6, add(var6, var6))), add(var2, add(var6, var6))))), add(var6, var6)), add(add(var6, var6), var6))"
"add(add(add(var6, var6), var6), add(add(add(var6, add(var6, var6)), add(add(var6, add(var6, add(add(var6, var6), var6))), add(var6, add(var3, var6)))), add(var6, add(add(var6, add(add(var6, var6), var6)), var3))))"
var6
"add(add(add(var6, var6), var6), add(sub(var14, var1), add(var14, var11)))"
"add(add(add(var6, var6), var6), add(add(add(add(add(add(var6, var3), add(var6, var6)), add(add(add(var6, var6), var6), add(add(var6, var6), add(var6, var3)))), add(add(var6, var6), var6)), var6), var3))"
"add(add(add(var6, var6), var6), add(add(add(var6, var6), add(var6, add(var6, add(add(var6, var6), add(add(add(var6, var6), var6), var6))))), add(var6, add(add(var6, add(add(var6, var6), var6)), var3))))"
"add(add(add(add(var6, var6), var6), add(add(var6, var6), add(var6, add(add(var2, add(add(var6, var6), var6)), var3)))), add(add(var2, add(var6, var6)), add(var6, add(add(add(var6, var6), var2), add(var6, var6)))))"
"add(add(add(add(add(var6, add(add(var6, var6), add(add(var6, var6), var6))), var3), add(add(var6, add(var6, var6)), var6)), add(var2, add(var6, var13))), add(add(var6, var6), add(var6, add(add(var6, var3), var3))))"
