Variable,Coefficient
PO4,2.159075148347622
Acenaphthylene,0.8725592369737899
Benzo(k)fluoranthene,0.7108876887303177
Pyrene,0.5288367052608739
Naphthalene,0.5233847741201011
Ti,0.47914020657211287
K,0.4729340083782707
Cl,0.4713357029626588
Ba,0.3842970745058793
Cr,0.36371632135184
Syringealdehyde,0.3070605771252058
Chrysene,0.2667463182573241
Benzo(b)fluoranthene,0.24440647415424235
Fluoranthene,0.2211408498629095
Si,0.20190114182001231
P,0.15367972012801992
Na,0.13554272495473707
NO3,0.10154396893689117
Ni,0.06757434930845362
Pentacosane,0.05995333437602289
Fe,0.035222640345326676
Coniferyl aldehyde,-0.14841994526747637
Dibenzofuran,-0.16561017320422897
Propylguaiacol,-0.17621898366930508
Methoxymethyl phenol,-0.5298210732307074
Guaiacol,-0.5618946467492442
Vanillin,-0.6131123493932629
Ethylguaiacol,-0.6588002221675842
Eugenol,-0.7254669995641693
Isoeugenol,-1.8519534082153102
Retene,-2.120766046755687
