chem,var_importance,tot_instances,uniq_instances
Benzokfluoranthene,2214.4533821019127,4559,118
Acenaphthylene,1139.7942556380854,1940,35
Benzobfluoranthene,982.3654155757968,739,43
Na,661.6437235891264,1452,23
Cl,141.47335709168848,569,9
P,91.78653951751666,556,5
Pentacosane,72.22374323491351,348,18
Silicon,45.64105889121753,15,7
NO_3,26.486782,70,2
Cr,24.67033107077191,72,3
Methoxymethylphenol,17.275454,4,1
Syringealdehyde,15.212935,311,8
PO_4,13.779341000000002,575,3
Pyrene,7.223443690257302,107,4
Fluoranthene,-4.000000000000001,4,4
Ti,-7.223443690257301,8,2
K,-7.703840707038287,1,1
Ba,-8.223443690257302,1,1
Naphthalene,-18.816531736962858,301,3
Isoeugenol,-29.2379763835239,2,2
Fe,-80.27842238963314,7,6
Ethylguaiacol,-133.38710979627032,8,5
Coniferylaldehyde,-157.6904481401814,649,13
Retene,-265.0990538812222,947,34
Propylguaiacol,-271.4057680909885,18,11
Guaiacol,-414.17622960438206,333,18
Dibenzofuran,-933.9828144795888,3835,84
Eugenol,-5246.373298500061,6618,200
