Iteration,RMSE,Complexity,Equation
5,2.827965570062027,18,PySRFunction(X=>(8.691585 - 0.3245116/PC_2)*9.371095 + (-PC_1 + PC_2)/0.6108545 - 0.93790025)
5,2.8279394104759534,20,PySRFunction(X=>9.357508*(8.677111 - 0.32497934/PC_2) + (-PC_1 + PC_2)/0.61085945 - 0.865965 - 1*(-0.303882))
6,4.457795211202277,1,PySRFunction(X=>0.310506220000000)
6,3.118993784700452,3,PySRFunction(X=>41.647697 - 1*(-41.941605))
6,3.0156903945469766,4,PySRFunction(X=>83.59595 - PC_1)
6,2.948530024781527,7,PySRFunction(X=>-PC_1 + PC_2 + 83.58918)
6,2.8948518448491734,9,PySRFunction(X=>1.6797875*(-PC_1 + PC_2) + 83.5887)
6,2.8930634736779153,11,PySRFunction(X=>1.7981318*(-PC_1 + PC_2) - 0.19995719 + 83.60708)
6,2.846883326018537,12,PySRFunction(X=>PC_3 + 1.6797875*(-PC_1 + PC_2) + 83.5887)
6,2.8447626366403895,14,PySRFunction(X=>PC_3 + (-PC_1 + PC_2)*1.8302288 - 1*0.040305234 + 83.60708)
6,2.8401025093483687,15,PySRFunction(X=>PC_3 + PC_3 + 1.7981318*(-PC_1 + PC_2) + 83.60708)
6,2.837400836479838,16,PySRFunction(X=>(-PC_1 + PC_2 + PC_3)/(0.73305774*0.75665313) + 0.73305774 + 83.02901)
6,2.8358791011562063,17,PySRFunction(X=>PC_4 + (-PC_1 + PC_2 + PC_3)/(0.73305774*0.75665313) + 83.02901)
6,2.827965570062027,18,PySRFunction(X=>(8.691585 - 0.3245116/PC_2)*9.371095 + (-PC_1 + PC_2)/0.6108545 - 0.93790025)
6,2.8279394104759534,20,PySRFunction(X=>9.357508*(8.677111 - 0.32497934/PC_2) + (-PC_1 + PC_2)/0.61085945 - 0.865965 - 1*(-0.303882))
7,4.457795211202277,1,PySRFunction(X=>0.310506220000000)
7,3.118993784700452,3,PySRFunction(X=>41.647697 - 1*(-41.941605))
7,3.0156903945469766,4,PySRFunction(X=>83.59595 - PC_1)
7,2.948530024781527,7,PySRFunction(X=>-PC_1 + PC_2 + 83.58918)
7,2.8948518448491734,9,PySRFunction(X=>1.6797875*(-PC_1 + PC_2) + 83.5887)
7,2.8930634736779153,11,PySRFunction(X=>1.7981318*(-PC_1 + PC_2) - 0.19995719 + 83.60708)
7,2.846883326018537,12,PySRFunction(X=>PC_3 + 1.6797875*(-PC_1 + PC_2) + 83.5887)
7,2.837317261734771,14,PySRFunction(X=>(-PC_1 + PC_2 + PC_3)/0.56002456 + 0.56002456 + 83.06752)
7,2.83577243151647,15,PySRFunction(X=>PC_4 + (-PC_1 + PC_2 + PC_3)/0.56002456 + 83.06752)
7,2.8325281899420274,17,PySRFunction(X=>PC_3 + (-PC_1 + PC_2)/0.5576703 + 83.9356 - 1.661203/PC_2)
7,2.827965570062027,18,PySRFunction(X=>(8.691585 - 0.3245116/PC_2)*9.371095 + (-PC_1 + PC_2)/0.6108545 - 0.93790025)
7,2.8259794145281574,19,PySRFunction(X=>PC_3 + (-PC_1 + PC_2)/0.5576703 - 2.258572 + 83.9356 - 1.661203/PC_2)
8,4.457795211202277,1,PySRFunction(X=>0.310506220000000)
8,3.118993784700452,3,PySRFunction(X=>41.647697 - 1*(-41.941605))
8,3.0156903945469766,4,PySRFunction(X=>83.59595 - PC_1)
8,2.948530024781527,7,PySRFunction(X=>-PC_1 + PC_2 + 83.58918)
8,2.8948518448491734,9,PySRFunction(X=>1.6797875*(-PC_1 + PC_2) + 83.5887)
8,2.892937059364939,11,PySRFunction(X=>(-PC_1 + PC_2)/0.54472625 + 0.2693965 + 83.240555)
8,2.845093348636205,12,PySRFunction(X=>PC_3 + (-PC_1 + PC_2)/0.5576703 + 83.9356)
8,2.837317261734771,14,PySRFunction(X=>(-PC_1 + PC_2 + PC_3)/0.56002456 + 0.56002456 + 83.06752)
8,2.83577243151647,15,PySRFunction(X=>PC_4 + (-PC_1 + PC_2 + PC_3)/0.56002456 + 83.06752)
8,2.8325281899420274,17,PySRFunction(X=>PC_3 + (-PC_1 + PC_2)/0.5576703 + 83.9356 - 1.661203/PC_2)
8,2.827965570062027,18,PySRFunction(X=>(8.691585 - 0.3245116/PC_2)*9.371095 + (-PC_1 + PC_2)/0.6108545 - 0.93790025)
8,2.8259794145281574,19,PySRFunction(X=>PC_3 + (-PC_1 + PC_2)/0.5576703 - 2.258572 + 83.9356 - 1.661203/PC_2)
9,4.457795211202277,1,PySRFunction(X=>0.310506220000000)
9,4.457760969568668,2,PySRFunction(X=>PC_2)
9,3.118993784700452,3,PySRFunction(X=>41.647697 - 1*(-41.941605))
9,3.0156903945469766,4,PySRFunction(X=>83.59595 - PC_1)
