Input,Training RMSE,Test RMSE,Time Taken
Full,22.623604171540784,19.45109618305771,304.988817691803
PCA,22.623603970036083,19.44970226389607,295.20030546188354
Elastic,22.623603970002453,19.449670875520187,289.06700134277344
