Iteration,RMSE,Complexity,Equation
2,9229426397.710922,0,"mul(mul(add(Si, Si), add(Si, Si)), Na)"
2,1836897101.7995515,1,"sub(mul(add(-0.961, Si), sub(mul(Na, Na), sub(Isoeugenol, Isoeugenol))), div(div(div(0.196, Si), mul(Isoeugenol, 0.496)), add(add(Isoeugenol, Na), div(-0.520, Isoeugenol))))"
2,45068121.052882634,2,"mul(mul(Na, Isoeugenol), sub(Si, Isoeugenol))"
2,21065017.85631679,3,"mul(mul(div(div(sub(Isoeugenol, -0.056), mul(Si, Isoeugenol)), sub(mul(0.669, Isoeugenol), mul(Isoeugenol, 0.108))), mul(add(div(Na, Na), div(Na, Isoeugenol)), sub(mul(0.209, 0.019), sub(add(Na, Isoeugenol), Isoeugenol)))), add(mul(sub(mul(Isoeugenol, Isoeugenol), div(-0.969, Si)), add(sub(-0.967, Si), add(Si, 0.672))), add(mul(div(Isoeugenol, Isoeugenol), add(Na, Isoeugenol)), div(div(Si, Si), add(Si, Si)))))"
2,7425715.632243637,4,"mul(mul(Isoeugenol, mul(sub(Isoeugenol, Na), sub(sub(Isoeugenol, Si), Isoeugenol))), 0.293)"
2,6558039.646322883,5,"mul(Isoeugenol, div(Isoeugenol, div(mul(div(Na, Na), sub(Si, div(Isoeugenol, Na))), add(sub(mul(Isoeugenol, 0.714), Isoeugenol), 0.278))))"
2,6328988.498818706,6,"sub(Si, mul(div(Si, 0.251), sub(Si, div(Isoeugenol, Na))))"
2,5029838.425383848,7,"mul(div(Si, 0.251), sub(Na, div(add(Na, Isoeugenol), sub(Na, Isoeugenol))))"
2,3658839.779482008,8,"sub(mul(Na, 0.061), mul(add(Isoeugenol, Na), div(Si, -0.345)))"
2,3172445.4739613114,9,"mul(mul(div(add(Si, Si), Na), div(Si, Si)), sub(add(-0.180, -0.912), mul(Na, Si)))"
3,12775483424.061396,0,"mul(mul(mul(Na, Si), mul(add(div(Na, Na), div(Na, Isoeugenol)), sub(mul(0.209, 0.019), sub(Isoeugenol, Isoeugenol)))), add(mul(sub(mul(Isoeugenol, Isoeugenol), div(-0.969, Si)), add(sub(-0.967, Si), add(Si, 0.672))), add(mul(div(Isoeugenol, Isoeugenol), add(Na, Isoeugenol)), div(div(Si, Na), add(Si, Si)))))"
3,2582160691.741485,1,"sub(mul(Na, 0.061), mul(div(add(div(mul(Si, Isoeugenol), Si), mul(div(Na, Si), Si)), div(Isoeugenol, Na)), add(div(Si, Si), div(Si, 0.415))))"
3,2124371945.6821318,2,"mul(mul(div(Na, Isoeugenol), div(Si, Si)), sub(add(-0.180, -0.912), mul(Na, Si)))"
3,1778309314.9010503,3,"div(mul(div(add(Na, Na), div(Isoeugenol, Na)), add(div(Si, Si), div(Si, 0.415))), div(0.356, 0.123))"
3,1007378765.3508227,4,"mul(mul(mul(div(Na, Isoeugenol), 0.474), div(Si, Si)), sub(sub(0.341, 0.126), mul(Na, Si)))"
3,779499305.214091,5,"sub(div(add(Na, Na), sub(Na, Si)), mul(mul(Isoeugenol, Isoeugenol), add(Isoeugenol, Na)))"
3,254517419.2536676,6,"mul(mul(div(-0.138, Na), mul(Na, Na)), sub(div(Na, Na), mul(Na, Si)))"
3,215557400.97781092,7,"sub(mul(div(mul(0.009, div(Na, Isoeugenol)), add(-0.479, Isoeugenol)), sub(mul(Na, Na), sub(Isoeugenol, Isoeugenol))), div(div(div(mul(div(Na, Si), sub(0.727, 0.695)), mul(sub(0.638, Na), add(0.071, Si))), mul(Isoeugenol, 0.496)), add(add(Isoeugenol, Na), div(-0.520, Isoeugenol))))"
3,125085296.64581008,8,"sub(mul(sub(div(add(Na, Na), sub(Na, div(sub(div(Isoeugenol, Na), -0.536), mul(Si, Na)))), mul(mul(0.095, -0.754), add(Isoeugenol, Na))), sub(mul(Na, Na), sub(Isoeugenol, Isoeugenol))), div(div(div(0.196, Si), mul(Isoeugenol, 0.496)), add(sub(div(add(Na, Na), sub(Na, Si)), mul(mul(0.095, -0.754), add(Isoeugenol, Na))), div(-0.520, Isoeugenol))))"
3,120858731.9608435,9,"sub(mul(sub(mul(Isoeugenol, Isoeugenol), div(-0.969, Si)), add(add(Na, Na), add(Si, 0.672))), div(sub(mul(0.104, Na), mul(Na, Na)), mul(div(Na, 0.739), mul(Isoeugenol, Si))))"
4,2745995889368.8867,0,"mul(mul(mul(Na, Si), div(Na, Si)), sub(add(-0.180, -0.912), mul(Na, Si)))"
4,739673432670.3549,1,"sub(div(div(Isoeugenol, sub(Isoeugenol, Si)), sub(Na, Si)), mul(mul(0.095, mul(div(add(Na, Na), div(Isoeugenol, Na)), add(div(Na, Na), div(Si, 0.415)))), add(Isoeugenol, Na)))"
4,1709763477.9289255,2,"sub(sub(Isoeugenol, Isoeugenol), mul(mul(Na, Na), add(Isoeugenol, Na)))"
4,1709763459.396005,3,"sub(div(add(Na, Na), sub(mul(Na, 0.061), sub(Isoeugenol, Isoeugenol))), mul(mul(Na, Na), add(Isoeugenol, Na)))"
