Equation
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), mul(PC1, -0.722)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(mul(PC3, PC3), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(mul(PC2, PC2), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4))), PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(PC4, add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4))), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2))), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(PC4, sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(mul(PC2, PC2), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), div(PC2, add(PC3, PC2)))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), mul(PC1, -0.722))))"
"add(add(add(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885), -0.885), -0.885)))), add(div(sub(add(-0.722, PC1), mul(mul(div(PC2, -0.586), div(div(add(-0.242, PC2), add(PC3, PC2)), mul(PC3, PC2))), div(add(PC3, 0.805), mul(PC4, -0.722)))), div(add(-0.242, PC2), sub(PC3, 0.830))), sub(mul(PC3, PC3), sub(sub(sub(sub(mul(PC3, PC2), PC4), PC4), PC4), PC4)))), mul(PC4, PC4)), mul(mul(div(PC2, -0.586), div(-0.141, PC4)), div(add(sub(add(div(add(mul(PC3, PC2), add(mul(PC2, PC2), mul(PC2, PC2))), add(PC2, add(PC1, PC1))), mul(PC2, PC2)), div(mul(PC3, PC3), PC4)), sub(div(PC2, add(PC3, PC2)), sub(PC3, sub(sub(sub(sub(mul(add(PC4, PC3), PC3), -0.885), mul(PC3, PC2)), -0.885), -0.885)))), mul(PC1, -0.722))))"
