Equation,Short_equation
"add(add(add(add(add(add(add(chem2, chem4), add(chem2, add(chem6, chem6))), add(chem6, chem6)), add(add(add(chem4, chem6), chem6), add(chem6, chem2))), add(add(chem4, chem6), chem8)), add(chem4, chem6)), add(add(add(chem6, chem6), chem6), add(chem6, chem6)))",3*chem2 + 4*chem4 + 14*chem6 + chem8
"add(add(add(chem6, add(chem6, chem6)), add(chem2, add(add(add(add(chem6, add(chem6, chem6)), add(chem2, add(add(chem4, chem6), chem4))), add(add(add(chem4, chem6), chem6), add(chem6, chem6))), chem4))), add(add(add(chem4, chem6), chem6), add(chem6, chem6)))",2*chem2 + 5*chem4 + 15*chem6
"add(add(add(chem4, chem6), add(add(chem2, chem6), add(chem2, chem4))), add(add(add(add(add(add(chem4, chem6), add(add(add(chem4, chem6), chem6), chem8)), add(add(add(chem2, chem4), chem6), add(chem2, chem4))), chem4), add(chem6, chem6)), add(chem6, chem6)))",4*chem2 + 7*chem4 + 10*chem6 + chem8
"add(add(add(chem4, chem6), add(add(chem6, chem6), add(chem6, chem6))), add(add(add(add(add(add(add(chem4, chem6), chem6), add(add(chem2, add(chem4, chem6)), add(chem2, chem4))), add(add(chem6, chem6), add(chem4, chem6))), chem4), add(chem2, chem6)), add(chem6, chem6)))",3*chem2 + 6*chem4 + 14*chem6
"add(add(add(add(add(chem4, chem6), add(add(add(chem2, chem6), add(chem6, chem6)), add(chem2, add(chem6, chem6)))), add(add(chem6, chem6), chem6)), add(add(add(chem2, chem6), add(chem6, chem6)), add(chem2, add(chem6, chem6)))), add(add(chem6, chem6), chem6))",4*chem2 + chem4 + 17*chem6
chem6,chem6
"add(add(add(chem4, chem6), add(chem6, add(chem6, add(chem2, chem4)))), add(add(add(chem2, chem6), add(chem4, chem6)), add(add(add(add(chem2, add(chem2, add(chem6, chem6))), chem6), add(add(chem6, chem6), add(chem4, chem6))), add(add(chem6, chem6), add(chem2, chem6)))))",5*chem2 + 4*chem4 + 14*chem6
"add(sub(add(chem4, chem6), add(add(add(chem2, chem6), add(chem6, chem6)), add(chem5, chem4))), add(chem6, add(chem6, chem6)))",-chem2 - chem5 + chem6
"add(add(add(add(chem2, add(add(add(add(chem2, chem4), add(chem2, add(chem2, add(chem6, chem6)))), add(chem6, chem6)), add(chem2, add(chem6, add(chem4, chem6))))), add(chem2, chem4)), add(add(add(chem6, chem6), chem8), add(chem2, chem4))), add(chem6, chem6))",7*chem2 + 4*chem4 + 10*chem6 + chem8
"add(add(add(chem4, add(chem2, add(chem2, add(chem4, chem6)))), add(chem4, chem6)), add(chem2, add(add(chem6, add(chem6, add(add(add(chem2, chem6), add(chem4, add(chem2, chem6))), add(add(chem4, chem6), add(add(chem2, chem6), chem8))))), add(chem6, chem6))))",6*chem2 + 5*chem4 + 10*chem6 + chem8
