Equation
"mul(mul(div(chem14, chem1), add(chem14, chem11)), chem6)"
"mul(add(chem2, add(chem2, chem2)), mul(add(chem2, add(chem2, chem2)), chem6))"
"mul(add(chem2, add(chem2, chem2)), mul(add(chem2, add(chem2, chem2)), chem6))"
"mul(add(chem2, add(chem2, chem2)), mul(add(chem2, add(chem2, chem2)), chem6))"
"mul(add(chem2, add(chem2, chem2)), mul(add(chem2, add(chem2, chem2)), chem6))"
"mul(add(chem2, add(chem2, chem2)), mul(add(chem2, add(chem2, chem2)), chem6))"
"mul(add(chem2, add(chem2, chem2)), mul(add(chem2, add(chem2, chem2)), chem6))"
"mul(add(chem2, add(mul(add(chem2, add(chem2, chem2)), chem6), chem2)), chem6)"
"mul(add(chem2, add(chem2, chem2)), mul(add(chem2, add(chem2, chem2)), chem6))"
"mul(add(mul(add(chem2, add(chem2, chem2)), chem6), add(chem2, chem2)), chem6)"
