Equation,Short_equation
"add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6))",3*chem2*chem6**2 + 2*chem2*chem6
"add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6))",3*chem2*chem6**2 + 2*chem2*chem6
"add(add(mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6), mul(chem2, chem6)), mul(chem2, chem6))",3*chem2*chem6**2 + 2*chem2*chem6
"add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6))",3*chem2*chem6**2 + 2*chem2*chem6
"add(mul(chem2, chem6), add(mul(chem2, chem6), mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6)))",3*chem2*chem6**2 + 2*chem2*chem6
"add(mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6), add(mul(chem2, chem6), mul(chem2, chem6)))",3*chem2*chem6**2 + 2*chem2*chem6
"add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6))",3*chem2*chem6**2 + 2*chem2*chem6
"add(add(mul(chem2, chem6), mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6)), mul(chem2, chem6))",3*chem2*chem6**2 + 2*chem2*chem6
"add(add(mul(chem2, chem6), mul(add(mul(chem2, chem6), mul(chem2, chem6)), chem6)), mul(chem2, chem6))",2*chem2*chem6**2 + 2*chem2*chem6
"add(add(mul(chem2, chem6), mul(add(add(mul(chem2, chem6), mul(chem2, chem6)), mul(chem2, chem6)), chem6)), mul(chem2, chem6))",3*chem2*chem6**2 + 2*chem2*chem6
