Equation,Short_equation
"add(add(add(chem6, add(chem2, chem2)), add(add(chem6, add(chem4, chem6)), chem6)), add(add(add(add(add(add(add(add(chem6, chem6), add(chem2, chem2)), chem6), add(chem2, chem8)), add(add(chem4, chem6), chem2)), add(add(chem2, chem2), chem6)), add(chem2, chem2)), add(chem2, chem2)))",12*chem2 + 2*chem4 + 9*chem6 + chem8
chem2,chem2
"add(chem2, chem2)",2*chem2
"add(add(add(chem6, chem6), chem6), add(add(chem2, chem2), add(add(add(add(chem4, add(chem4, add(chem2, chem6))), chem2), add(add(chem6, add(chem4, add(chem2, chem2))), add(add(add(chem6, add(chem4, chem6)), add(chem2, chem2)), add(add(chem2, chem6), chem6)))), chem6)))",9*chem2 + 4*chem4 + 10*chem6
"add(chem2, chem2)",2*chem2
"add(chem2, chem2)",2*chem2
"add(add(add(chem4, chem6), add(add(chem2, add(add(chem2, add(add(add(chem4, chem6), add(chem2, chem2)), add(chem2, chem2))), chem4)), add(add(add(chem6, add(chem4, chem6)), chem6), chem6))), add(add(add(chem6, add(chem4, add(chem8, chem2))), chem6), chem6))",7*chem2 + 5*chem4 + 9*chem6 + chem8
"add(add(add(add(chem2, chem2), chem2), add(chem2, add(chem2, chem6))), add(add(add(chem2, chem2), chem2), add(add(chem6, chem6), add(add(add(add(chem4, add(chem2, add(chem2, chem6))), chem6), add(add(chem6, chem6), add(chem4, chem6))), add(add(chem2, chem6), add(chem2, chem6))))))",12*chem2 + 2*chem4 + 10*chem6
"add(add(add(chem6, chem6), add(add(chem4, add(chem6, chem6)), chem6)), add(add(add(add(add(chem6, add(chem4, add(chem2, chem2))), add(add(chem2, chem6), chem6)), add(add(chem4, chem6), add(chem2, add(chem2, chem6)))), chem2), add(add(chem2, chem6), add(chem4, chem6))))",7*chem2 + 4*chem4 + 12*chem6
"add(add(chem6, chem6), add(chem4, add(add(add(add(add(add(chem6, chem6), add(chem6, chem6)), add(add(chem2, chem6), chem6)), add(add(add(chem2, chem6), chem6), add(chem2, chem2))), add(add(add(chem2, chem6), chem6), chem6)), add(chem6, chem6))))",5*chem2 + chem4 + 15*chem6
