Equation,Short_equation
"add(add(mul(add(add(add(mul(add(0.612, chem6), add(chem2, chem2)), chem4), add(chem6, chem6)), chem6), add(chem2, chem2)), add(add(0.612, chem6), chem6)), chem4)",2*chem2*(2*chem2*(chem6 + 0.612) + chem4 + 3*chem6) + chem4 + 2*chem6 + 0.612
"add(add(mul(add(add(add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, chem6)), chem4), chem6), add(chem2, chem2)), add(chem6, chem6)), chem4)",2*chem2*(2*chem2*(chem6 + 0.612) + chem4 + 3*chem6) + chem4 + 2*chem6
"add(add(mul(add(add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, chem6)), chem6), add(chem2, chem2)), add(chem6, chem6)), chem4)",2*chem2*(2*chem2*(chem6 + 0.612) + 3*chem6) + chem4 + 2*chem6
"add(add(mul(add(0.612, chem6), add(chem2, add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, add(chem2, chem2))))), add(chem6, chem6)), chem4)",chem4 + 2*chem6 + (chem6 + 0.612)*(2*chem2*(chem6 + 0.612) + 3*chem2 + chem6)
"add(add(mul(add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, chem6)), add(chem2, chem2)), add(chem6, chem6)), chem4)",2*chem2*(2*chem2*(chem6 + 0.612) + 2*chem6) + chem4 + 2*chem6
"add(add(mul(add(0.612, chem6), add(add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, chem6)), chem4)), chem6), chem4)",chem4 + chem6 + (chem6 + 0.612)*(2*chem2*(chem6 + 0.612) + chem4 + 2*chem6)
"add(add(mul(add(add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, chem6)), chem4), add(chem2, chem2)), add(chem6, chem6)), chem4)",2*chem2*(2*chem2*(chem6 + 0.612) + chem4 + 2*chem6) + chem4 + 2*chem6
"add(add(mul(add(add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, add(chem2, chem2))), chem6), add(chem2, chem2)), chem4), add(chem6, chem6))",2*chem2*(2*chem2*(chem6 + 0.612) + 2*chem2 + 2*chem6) + chem4 + 2*chem6
"add(add(mul(add(add(add(mul(chem6, add(chem2, chem2)), chem6), add(chem6, chem6)), chem4), add(chem2, chem2)), chem6), chem4)",2*chem2*(2*chem2*chem6 + chem4 + 3*chem6) + chem4 + chem6
"add(add(mul(add(mul(add(0.612, chem6), add(chem2, chem2)), add(chem6, chem6)), add(chem2, chem2)), add(chem6, chem6)), chem4)",2*chem2*(2*chem2*(chem6 + 0.612) + 2*chem6) + chem4 + 2*chem6
