Equation,Short_equation
"add(add(chem4, chem6), add(add(add(chem8, chem4), add(chem8, chem6)), add(chem8, add(add(add(add(chem6, chem6), add(add(chem8, chem4), add(add(add(chem4, chem6), chem8), add(add(chem8, chem6), chem6)))), chem6), chem6))))",4*chem4 + 9*chem6 + 6*chem8
chem4,chem4
"add(add(chem6, chem6), add(add(chem4, add(chem8, chem6)), add(add(chem4, chem6), add(add(chem4, chem6), add(add(chem6, chem6), add(add(chem8, chem4), add(add(add(chem4, chem6), chem8), add(add(chem8, chem6), chem6))))))))",5*chem4 + 10*chem6 + 4*chem8
chem6,chem6
"add(chem4, add(add(add(add(chem4, chem6), chem6), add(add(add(add(add(add(chem4, chem6), chem4), chem6), chem6), chem8), chem6)), add(add(add(add(chem4, chem6), add(chem6, chem6)), chem8), add(chem6, add(chem2, chem6)))))",chem2 + 5*chem4 + 11*chem6 + 2*chem8
chem4,chem4
"add(add(chem6, add(chem2, chem6)), add(add(add(add(add(chem8, add(chem6, add(add(add(chem2, add(chem4, chem6)), add(add(chem8, chem6), add(chem6, add(chem6, add(chem2, chem6))))), add(chem8, chem4)))), chem6), chem6), chem4), add(chem4, chem6)))",3*chem2 + 4*chem4 + 11*chem6 + 3*chem8
"add(chem4, chem6)",chem4 + chem6
"add(chem2, chem6)",chem2 + chem6
"add(add(chem4, add(chem4, add(add(chem4, add(chem4, add(chem4, chem8))), add(add(chem8, add(chem6, chem6)), add(add(chem6, add(chem2, chem6)), chem6))))), add(add(chem8, add(chem6, chem6)), add(add(chem8, chem6), chem6)))",chem2 + 5*chem4 + 9*chem6 + 4*chem8
