Equation
"mul(mul(add(chem2, chem2), chem6), mul(chem6, chem2))"
"add(mul(add(chem2, chem2), add(mul(add(chem2, chem2), chem6), mul(chem6, chem2))), mul(chem6, chem2))"
"add(mul(add(chem2, chem2), add(mul(add(chem2, chem2), chem6), mul(chem6, chem2))), mul(chem6, chem2))"
"add(mul(add(mul(add(chem2, chem2), chem6), mul(chem6, chem2)), chem6), mul(chem6, chem2))"
"add(mul(add(mul(add(chem2, chem2), chem6), mul(chem6, chem2)), chem6), mul(chem6, chem2))"
"add(mul(add(chem2, chem2), chem6), mul(chem6, add(mul(add(chem2, chem2), chem6), mul(chem6, chem2))))"
"add(mul(add(mul(add(chem2, chem2), chem6), mul(chem6, chem2)), chem6), mul(chem6, chem2))"
"add(mul(add(mul(add(chem2, chem2), chem6), mul(chem6, chem2)), chem6), mul(chem6, chem2))"
"add(mul(add(chem2, chem2), chem6), mul(chem6, add(mul(add(chem2, chem2), chem6), mul(chem6, chem2))))"
"add(mul(add(chem2, add(mul(add(chem2, chem2), chem6), mul(chem6, chem2))), chem6), mul(chem6, chem2))"
