Equation
"sub(chem10, chem15)"
"add(add(add(chem6, chem2), add(chem4, add(chem6, chem2))), add(add(add(chem6, chem2), add(chem6, add(add(add(chem6, add(chem6, add(chem6, chem4))), add(chem4, chem6)), add(add(chem6, add(chem6, chem2)), add(add(chem6, add(chem6, chem2)), chem2))))), add(chem6, add(chem6, chem2))))"
"add(add(add(chem6, add(chem6, chem6)), add(chem4, chem6)), add(add(add(chem6, chem2), add(add(chem6, chem2), add(chem6, chem2))), add(chem6, add(add(chem6, add(chem6, chem2)), add(add(add(add(chem6, add(chem6, add(chem2, chem2))), chem2), add(chem6, chem6)), add(chem6, chem4))))))"
"sub(chem2, chem2)"
chem2
chem2
"add(add(add(chem6, chem2), add(add(add(add(chem6, chem6), add(chem6, add(chem6, chem4))), add(add(add(chem6, chem4), add(chem6, chem2)), add(chem6, chem2))), chem6)), add(add(add(chem6, chem6), add(add(chem6, chem2), add(chem6, chem2))), add(chem6, chem4)))"
"add(chem6, chem2)"
"add(chem6, chem2)"
"add(add(add(add(chem6, chem6), add(chem6, chem2)), chem2), add(add(chem6, add(add(add(chem6, add(chem6, chem2)), chem6), add(add(add(add(chem6, chem2), chem2), add(add(chem6, chem2), add(add(chem6, chem2), chem2))), add(chem6, chem4)))), add(chem6, add(add(chem6, chem2), chem2))))"
