Equation
"sub(chem10, chem15)"
"add(add(add(chem6, add(add(add(add(chem6, chem6), add(add(add(chem4, chem6), add(chem6, add(chem6, chem6))), add(add(chem6, chem6), chem6))), chem6), chem6)), add(chem6, add(chem6, chem6))), add(chem6, add(chem6, add(chem6, chem6))))"
"add(add(add(add(chem6, add(add(add(chem6, add(chem6, add(chem6, chem6))), add(chem6, add(add(chem6, chem6), chem6))), add(chem3, add(chem6, chem6)))), add(chem6, chem6)), add(chem6, add(chem6, chem6))), add(add(chem6, chem6), add(chem6, chem6)))"
"add(add(add(chem6, chem6), add(add(chem3, chem6), chem6)), add(add(chem6, add(add(add(chem6, add(add(chem6, chem6), chem3)), add(add(chem6, add(chem6, chem6)), add(chem3, chem6))), chem6)), add(add(chem6, chem6), chem6)))"
"add(add(add(chem6, chem6), add(add(chem6, chem6), add(chem6, add(add(add(chem6, chem6), add(chem3, chem6)), add(add(chem6, add(add(chem6, chem6), chem6)), add(chem6, chem6)))))), add(add(add(chem6, chem6), chem6), chem6))"
"sub(add(chem6, add(add(add(chem6, add(chem6, chem6)), chem6), chem6)), add(add(chem6, chem6), add(chem6, add(chem6, chem6))))"
"add(add(add(chem6, chem6), add(sub(chem14, chem1), add(chem14, chem11))), add(add(add(chem6, chem6), chem6), add(chem6, chem6)))"
chem6
"add(add(chem6, add(chem6, chem6)), add(add(chem6, add(chem6, add(add(chem5, add(chem6, add(add(chem6, chem6), add(add(chem6, add(chem6, add(add(add(chem6, chem6), chem6), chem6))), add(chem6, chem6))))), chem6))), add(chem6, chem6)))"
"add(add(add(chem6, add(chem6, chem6)), add(add(chem3, chem6), add(add(chem3, chem6), add(add(add(chem6, chem6), chem6), add(chem6, chem6))))), add(add(chem6, add(add(chem6, chem6), chem6)), add(chem3, chem6)))"
