Iteration,RMSE,Complexity,Equation
2520,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2520,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2520,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2520,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2520,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2520,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2520,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2520,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2520,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2521,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2521,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2521,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2521,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2521,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2521,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2521,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2521,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2521,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2521,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2522,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2522,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2522,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2522,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2522,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2522,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2522,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2522,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2522,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2522,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2523,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2523,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2523,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2523,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2523,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2523,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2523,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
