Iteration,RMSE,Complexity,Equation
4,15.291978551796852,18,PySRFunction(X=>Arf_1_31811 + Chil_3_66072*Cxcl_10_29431 + (Cyp_1_a_1_79654 - Tacr_1_72530)/0.21235092 + 2.033315)
4,14.835566877427702,20,PySRFunction(X=>Chil_3_66072*Cxcl_10_29431 - (-1)*6.3812613*Egr_1_58083 + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.19295704 - 17.659508)
5,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
5,81.09938550418207,2,PySRFunction(X=>Cxcl_10_29431)
5,22.623603969997376,3,PySRFunction(X=>41.479046 - 1*(-42.110195))
5,22.119262593574216,6,PySRFunction(X=>-Tacr_1_72530 - 1*(-13.395007) + 73.51803)
5,19.170425086284723,10,PySRFunction(X=>Mt_2_76492*(Cdkn_2_a_67661 + Tgm_1_60333) - 1*6.833886)
5,19.04478072832152,12,PySRFunction(X=>Cyp_1_a_1_29719 + Sfn_31323*Stx_11_69405/0.74856883 - 1*(-1.0176543))
5,18.76720511852449,13,PySRFunction(X=>(Cyp_1_b_1_72511*Slc_26_a_4_56472/16.407082 + 0.5703317)*20.44142 + 11.917544)
5,16.842081790165352,14,PySRFunction(X=>(Csrnp_1_69505*Gdnf_29292 + Cyp_1_a_1_29719)*2.9314213 - 14.396988 - 1*1.6835386)
5,16.349705685652363,15,PySRFunction(X=>Atp_6_v_0_d_2_76694*B_3_gnt_2_60493 + Cyp_1_b_1_72511*Serpina_3_n_29367*1.6492887 - 1*9.408895)
5,15.817202640197454,17,PySRFunction(X=>Chil_3_66072*Cxcl_10_29431 + (Cyp_1_a_1_79654 - Tacr_1_72530)/0.20211174 - 1*(-5.0987906) + 5.177578)
5,15.222068517247829,18,PySRFunction(X=>Arf_1_31811 + Chil_3_66072*Cxcl_10_29431 + (Cyp_1_a_1_79654 - Tacr_1_72530)/0.21235092 + 2.4055967)
5,14.835566877427702,20,PySRFunction(X=>Chil_3_66072*Cxcl_10_29431 - (-1)*6.3812613*Egr_1_58083 + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.19295704 - 17.659508)
6,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
6,81.09938550418207,2,PySRFunction(X=>Cxcl_10_29431)
6,22.623603969997376,3,PySRFunction(X=>41.479046 - 1*(-42.110195))
6,22.119262593574216,6,PySRFunction(X=>-Tacr_1_72530 - 1*(-13.395007) + 73.51803)
6,21.896074930979896,7,PySRFunction(X=>Siglecf_71530 - Tacr_1_72530 + 81.62216)
6,19.170425086284723,10,PySRFunction(X=>Mt_2_76492*(Cdkn_2_a_67661 + Tgm_1_60333) - 1*6.833886)
6,18.868509623076168,12,PySRFunction(X=>(Mt_2_76492*(Cdkn_2_a_67661 + Tgm_1_60333) + 7.9892187)/1.1720563)
6,18.598769107328838,13,PySRFunction(X=>(Fpr_1_30738 + Mt_2_76492*(Cdkn_2_a_67661 + Tgm_1_60333))/1.1720563)
6,16.164914757752836,14,PySRFunction(X=>-11.770448*Asb_14_29409 + Cyp_1_a_1_29719*Myc_30907 - 1*1.3429323 + 115.350914)
6,15.685113014606491,16,PySRFunction(X=>Asb_14_29409*(-10.694389) + Cyp_1_a_1_29719*Myc_30907 - 1*5.801256 - 1*1.8187256 + 113.42156)
6,15.222068517247829,18,PySRFunction(X=>Arf_1_31811 + Chil_3_66072*Cxcl_10_29431 + (Cyp_1_a_1_79654 - Tacr_1_72530)/0.21235092 + 2.4055967)
6,14.835566877427702,20,PySRFunction(X=>Chil_3_66072*Cxcl_10_29431 - (-1)*6.3812613*Egr_1_58083 + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.19295704 - 17.659508)
7,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
7,81.09938550418207,2,PySRFunction(X=>Cxcl_10_29431)
7,22.623603969997376,3,PySRFunction(X=>41.479046 - 1*(-42.110195))
7,22.119262593574216,6,PySRFunction(X=>-Tacr_1_72530 - 1*(-13.395007) + 73.51803)
7,21.896074930979896,7,PySRFunction(X=>Siglecf_71530 - Tacr_1_72530 + 81.62216)
7,19.170425086284723,10,PySRFunction(X=>Mt_2_76492*(Cdkn_2_a_67661 + Tgm_1_60333) - 1*6.833886)
